club_name,city,state,conference,league,gender,source
Albion SC Central Cal,Bakersfield,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Central Valley,Clovis,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Riverside,Riverside,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Santa Monica,Santa Monica,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Silicon Valley,San Jose,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
AYSO United SoCal,Pacific Palisades,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Boca Orange County,Huntington Beach,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Central Coast Surf SC,Atascadero,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
Central Coast United SC,San Luis Obispo,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
Ceres Rush,Ceres,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chula Vista FC,Chula Vista,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
City SC Central Valley,Tracy,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
City SC San Marcos,San Marcos,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
City SC Southwest,Temecula,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Dublin United,Dublin,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
FC Premier,Folsom,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
FLYTE SC Inland Empire,Rancho Cucamonga,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Inland Surf SC,Winchester,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
LA Surf SC,San Marino,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Los Angeles Bulls SC,Santa Monica,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Oaks FC,Thousand Oaks,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Rangers FC,Fullerton,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Roseville Youth Soccer Club,Roseville,CA,NorCal,Development Player League,Girls,playclubsoccer.org + dpleague.org
So Cal Blues SC,Laguna Hills,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
SoCal Elite FC,Chino,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
SoCal Reds FC,Irvine,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Sporting Slammers FC,Irvine,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Ventura County Fusion,Ventura,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
West Coast FC,San Juan Capistrano,CA,Southwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
956 United,McAllen,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
