club_name,state,conference,gender,league,season
Arizona Arsenal SC,AZ,Arizona,Girls,USYS Elite 64,2025-26
CCV Stars,AZ,Arizona,Girls,USYS Elite 64,2025-26
Excel Soccer Academy,AZ,Arizona,Girls,USYS Elite 64,2025-26
FC Tucson,AZ,Arizona,Girls,USYS Elite 64,2025-26
Phoenix Rising,AZ,Arizona,Girls,USYS Elite 64,2025-26
RSL West Valley,AZ,Arizona,Girls,USYS Elite 64,2025-26
BVB IA Texas,TX,Frontier,Girls,USYS Elite 64,2025-26
Dallas Surf SC,TX,Frontier,Girls,USYS Elite 64,2025-26
DKSC,TX,Frontier,Girls,USYS Elite 64,2025-26
HTX,TX,Frontier,Girls,USYS Elite 64,2025-26
Lonestar SC,TX,Frontier,Girls,USYS Elite 64,2025-26
Renegades SC,TX,Frontier,Girls,USYS Elite 64,2025-26
Solar SC,TX,Frontier,Girls,USYS Elite 64,2025-26
Cincinnati West SC,OH,Great Lakes,Girls,USYS Elite 64,2025-26
Columbus Force,OH,Great Lakes,Girls,USYS Elite 64,2025-26
Elite FC,OH,Great Lakes,Girls,USYS Elite 64,2025-26
FOSC,OH,Great Lakes,Girls,USYS Elite 64,2025-26
Hoosier Futbol Club,IN,Great Lakes,Girls,USYS Elite 64,2025-26
Indy Eleven Academy,IN,Great Lakes,Girls,USYS Elite 64,2025-26
Indy Eleven Academy North,IN,Great Lakes,Girls,USYS Elite 64,2025-26
Indy Premier,IN,Great Lakes,Girls,USYS Elite 64,2025-26
Kings Hammer,KY,Great Lakes,Girls,USYS Elite 64,2025-26
Total Futbol Academy,OH,Great Lakes,Girls,USYS Elite 64,2025-26
Chicago FC United,IL,Midwest North,Girls,USYS Elite 64,2025-26
Croatian Eagles,WI,Midwest North,Girls,USYS Elite 64,2025-26
DCFC,MI,Midwest North,Girls,USYS Elite 64,2025-26
Evolution SC,IL,Midwest North,Girls,USYS Elite 64,2025-26
Michigan Jaguars,MI,Midwest North,Girls,USYS Elite 64,2025-26
Nationals Soccer,MI,Midwest North,Girls,USYS Elite 64,2025-26
Sporting United FC,MI,Midwest North,Girls,USYS Elite 64,2025-26
Team Chicago,IL,Midwest North,Girls,USYS Elite 64,2025-26
Alliance FC,MO,Midwest South,Girls,USYS Elite 64,2025-26
Evolution Soccer Club,NE,Midwest South,Girls,USYS Elite 64,2025-26
JB Marine,MO,Midwest South,Girls,USYS Elite 64,2025-26
Kansas City Surf,KS,Midwest South,Girls,USYS Elite 64,2025-26
Kansas Rush Wichita,KS,Midwest South,Girls,USYS Elite 64,2025-26
KC Legends,KS,Midwest South,Girls,USYS Elite 64,2025-26
Kearney Soccer Club,NE,Midwest South,Girls,USYS Elite 64,2025-26
SLSG Elite,MO,Midwest South,Girls,USYS Elite 64,2025-26
Sporting Kaw Valley,KS,Midwest South,Girls,USYS Elite 64,2025-26
Chicago City Soccer Club,IL,Midwest West,Girls,USYS Elite 64,2025-26
Libertyville FC 1974 Select,IL,Midwest West,Girls,USYS Elite 64,2025-26
Liverpool FC IA Michigan,MI,Midwest West,Girls,USYS Elite 64,2025-26
MFA,MI,Midwest West,Girls,USYS Elite 64,2025-26
Michigan Tigers,MI,Midwest West,Girls,USYS Elite 64,2025-26
Michigan Burn,MI,Midwest West,Girls,USYS Elite 64,2025-26
Raptors Crystal Lake Force,IL,Midwest West,Girls,USYS Elite 64,2025-26
TKO Premier SC,MI,Midwest West,Girls,USYS Elite 64,2025-26
Arizona Arsenal SC,AZ,Arizona,Boys,USYS Elite 64,2025-26
Arizona Soccer Club,AZ,Arizona,Boys,USYS Elite 64,2025-26
CCV Stars,AZ,Arizona,Boys,USYS Elite 64,2025-26
