activity_code,activity_name,type_code,section_id,section_desc,facility,address,city,zipcode,lat,lon,begin_date,end_date,age,gender,price,status,available_spots,section_status
105127405,Summer PlayLA Soccer League,Soccer Futsal,514324804,Summer PlayLA Co-Rec Soccer League - Little Kickers,Yucca Community Center,6671 Yucca St.,Hollywood,90028,34.10336527,-118.3353137,2026-07-14,2026-08-27,3-4.99,All,10,Click Here,16,Available
105127405,Summer PlayLA Soccer League,Soccer Futsal,514334290,Summer PlayLA Co-Rec Soccer League - Mighty Mites,Yucca Community Center,6671 Yucca St.,Hollywood,90028,34.10336527,-118.3353137,2026-07-14,2026-08-27,5-6.99,All,10,Click Here,18,Available
105127405,Summer PlayLA Soccer League,Soccer Futsal,514334299,Summer PlayLA Co-Rec Soccer League - Pee Wees,Yucca Community Center,6671 Yucca St.,Hollywood,90028,34.10336527,-118.3353137,2026-07-14,2026-08-27,7-8.99,All,10,Click Here,18,Available
105127405,Summer PlayLA Soccer League,Soccer Futsal,514334308,Summer PlayLA Co-Rec Soccer League - Minors,Yucca Community Center,6671 Yucca St.,Hollywood,90028,34.10336527,-118.3353137,2026-07-14,2026-08-27,7-8.99,All,10,Click Here,18,Available
105127406,Summer PlayLA GPLA Soccer League,Soccer Futsal,514349761,Summer PlayLA GPLA Soccer League - Minors,Yucca Community Center,6671 Yucca St.,Hollywood,90028,34.10336527,-118.3353137,2026-07-14,2026-08-27,8-10.99,Female,10,Click Here,23,Available
111127403,Summer PlayLA Soccer League,Soccer Futsal,509871299,Summer PlayLA Soccer - Juniors/Seniors,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,13-15.99,All,10,Click Here,30,Available
111127403,Summer PlayLA Soccer League,Soccer Futsal,509871219,Summer PlayLA Soccer - Little Kickers,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,3-4.99,All,10,Click Here,0,Wait List
111127403,Summer PlayLA Soccer League,Soccer Futsal,509871235,Summer PlayLA Soccer - Rookies,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,5-6.99,All,10,Click Here,11,Available
111127403,Summer PlayLA Soccer League,Soccer Futsal,509871251,Summer PlayLA Soccer - Pee Wees,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,7-8.99,All,10,Click Here,1,Almost Full
111127403,Summer PlayLA Soccer League,Soccer Futsal,509871267,Summer PlayLA Soccer - Minors,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,9-10.99,All,10,Click Here,30,Available
111127403,Summer PlayLA Soccer League,Soccer Futsal,509871283,Summer PlayLA Soccer - Majors,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-22,11-12.99,All,10,Click Here,34,Available
111127404,Summer GPLA PlayLA Soccer League,Soccer Futsal,509878339,Summer GPLA PlayLA Soccer - Minors,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,9-10.99,Female,10,Click Here,36,Available
111127404,Summer GPLA PlayLA Soccer League,Soccer Futsal,509942047,Summer GPLA PlayLA Soccer - Majors,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,11-12.99,Female,10,Click Here,37,Available
111127404,Summer GPLA PlayLA Soccer League,Soccer Futsal,509942577,Summer GPLA PlayLA Soccer - Juniors/Seniors,Seoul International Park RC,3250 San Marino St,Los Angeles,90006,34.0542048,-118.3017381,2026-07-11,2026-08-29,13-17.99,Female,10,Click Here,29,Available
113127409,Summer PlayLA Soccer League,Soccer Futsal,513322317,Summer PlayLA Soccer League - Rookies,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-11,2026-08-29,6-8.99,All,10,Click Here,26,Available
113127410,Summer SNL PlayLA Soccer League,Soccer Futsal,513314150,Summer SNL PlayLA Soccer League - PeeWee,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-01,2026-08-08,8-7.99,All,0,Click Here,19,Available
113127410,Summer SNL PlayLA Soccer League,Soccer Futsal,513314162,Summer SNL PlayLA Soccer League - Majors,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-01,2026-08-08,11-12.99,All,0,Click Here,29,Available
113127410,Summer SNL PlayLA Soccer League,Soccer Futsal,513314174,Summer SNL PlayLA Soccer League - Juniors,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-01,2026-08-08,13-15.99,All,0,Click Here,9,Available
113127410,Summer SNL PlayLA Soccer League,Soccer Futsal,513315756,Summer SNL PlayLA Soccer League - Minors,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-01,2026-08-08,9-10.99,All,0,Click Here,27,Available
113127411,Summer SNL GPLA PlayLA Soccer League,Soccer Futsal,513320690,Summer SNL GPLA PlayLA Soccer - Major,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-01,2026-08-08,10-12.99,Female,0,Click Here,19,Available
113127411,Summer SNL GPLA PlayLA Soccer League,Soccer Futsal,513320705,Summer SNL GPLA PlayLA Soccer - Junior,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-01,2026-08-08,13-15.99,Female,0,Click Here,15,Available
113147401,Summer Adult Soccer League,Soccer Futsal,485525474,Summer Adult Soccer League,Denker RC,1550 W. 35th Place,Los Angeles,90018,34.02345874,-118.3042564,2026-07-11,2026-09-28,18-55.99,All,500,Click Here,15,Call Facility
114127404,Summer PlayLA Soccer League,Soccer Futsal,508995541,Summer PlayLA Soccer - Tiny Tots,Hoover RC,1010 W. 25th St.,Los Angeles,90007,34.03251931,-118.2830735,2026-07-11,2026-08-29,3-4.99,All,10,Click Here,22,Available
114127404,Summer PlayLA Soccer League,Soccer Futsal,509003229,Summer PlayLA Soccer - Rookies,Hoover RC,1010 W. 25th St.,Los Angeles,90007,34.03251931,-118.2830735,2026-07-11,2026-08-29,5-6.99,All,10,Click Here,26,Available
114127404,Summer PlayLA Soccer League,Soccer Futsal,509003398,Summer PlayLA Soccer - Pee Wees,Hoover RC,1010 W. 25th St.,Los Angeles,90007,34.03251931,-118.2830735,2026-07-11,2026-08-29,7-8.99,All,10,Click Here,34,Available
114127404,Summer PlayLA Soccer League,Soccer Futsal,509003621,Summer PlayLA Soccer - Minors,Hoover RC,1010 W. 25th St.,Los Angeles,90007,34.03251931,-118.2830735,2026-07-11,2026-08-29,9-10.99,All,10,Click Here,28,Available
114127404,Summer PlayLA Soccer League,Soccer Futsal,509003873,Summer PlayLA Soccer - Majors,Hoover RC,1010 W. 25th St.,Los Angeles,90007,34.03251931,-118.2830735,2026-07-11,2026-08-29,11-12.99,All,10,Click Here,34,Available
