player,grad_year,college,academy,previous_club_1,previous_club_2,home_state,home_city,profile_match
Nolan Tinsley,2026,Wake Forest University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Ubachuwu Ibeanu,2026,Northeastern University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Kai Skinlo,2026,Utah Valley University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Gavin Carlson,2026,"University of California, San Diego","Barca Residency Academy (Casa Grande, AZ)",,,,,
Jorge Padilla,2026,"University of California, Berkeley","Barca Residency Academy (Casa Grande, AZ)",,,,,
Dawson Vidrio,2026,Lincoln Memorial University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Milo Williams,2026,Trinity University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Rome Kramer,2026,UNLV,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Xavier Cisneros,2026,University of Pacific,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Juda Casas,2026,Canisius University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Lorenzo Tuch,2026,Canisius University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Joshua Sosa,2026,Columbia University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Aaron Tamer,2026,Point Loma Nazarene University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Max Lugash,2026,Spring Hill College,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Andrew Joyner,2026,Embry-Riddle Aeronautical University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Kimani Kimotho,2026,Felician University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Ved Puttagunta,2026,Oberlin College,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Connor Kirkpatrick,2026,High Point University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Drew El-Sherif,2026,Mount St. Mary’s College,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Kaden DeJarnette,2025,Lipscomb University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Tanay Medam,2025,"University of Massachusetts, Lowell","Barca Residency Academy (Casa Grande, AZ)",,,,,
Charles Beauvais,2025,University of Northern British Columbia,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Jan Kubacki,2025,Felician University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Reynaldo Romo,2025,Carson-Newman University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Larry Jiminez,2025,Canisius University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Nadav Youdkevich,2025,Wright State University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Damian Succento,2025,Lincoln Memorial University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Chase Hassfurther,2025,DePaul University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Massimo Meneses,2024,Oregon State University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Aiden Marquez,2024,Oregon State University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Zack Smuck,2024,"University of California, Irvine","Barca Residency Academy (Casa Grande, AZ)",,,,,
Christian Acevedo,2024,UNC Wilmington,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Trent Lindsey,2024,Butler University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Joel Torbic,2024,Wake Forest University,"Barca Residency Academy (Casa Grande, AZ)",,,AZ,,barca-club
Simon Downhour,2024,Embry-Riddle Aeronatical University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Luke Zielinski,2024,Columbia University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Micah O’Leary,2024,Gustavus Adolphus,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Ramon Camejo,2024,Bryant University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Connor Bradford,2024,St. Mary’s University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Malachi Grant,2024,Furman University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Devon Galluzzo,2024,Boston College,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Koven Johnson,2024,High Point University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Gavin Baker,2024,Franklin Pierce University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Tommy Huang,2024,Academy of Art University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
Isaac Emojong,2024,Utah Valley University,"Barca Residency Academy (Casa Grande, AZ)",,,,,
