club,gotsport_url,website
Academia de Futbol Tigres,https://system.gotsport.com/org_event/events/43086/clubs/29979,http://socalsoccerleague.org
AC Brea Soccer,https://system.gotsport.com/org_event/events/43086/clubs/13602,http://socalsoccerleague.org
ALBION SC Riverside,https://system.gotsport.com/org_event/events/43086/clubs/19076,http://socalsoccerleague.org
ALBION SC San Diego,https://system.gotsport.com/org_event/events/43086/clubs/9024,http://socalsoccerleague.org
ALBION SC Santa Ana,https://system.gotsport.com/org_event/events/43086/clubs/31669,http://socalsoccerleague.org
ALBION SC Santa Monica,https://system.gotsport.com/org_event/events/43086/clubs/13227,http://socalsoccerleague.org
Anaheim Futbol Club,https://system.gotsport.com/org_event/events/43086/clubs/13253,http://socalsoccerleague.org
Antelope Valley Futbol Club,https://system.gotsport.com/org_event/events/43086/clubs/13244,http://socalsoccerleague.org
Apple Valley SC Storm,https://system.gotsport.com/org_event/events/43086/clubs/13213,http://socalsoccerleague.org
Athletic Soccer Club,https://system.gotsport.com/org_event/events/43086/clubs/35456,http://socalsoccerleague.org
Aztecs FC,https://system.gotsport.com/org_event/events/43086/clubs/27847,http://socalsoccerleague.org
Bakersfield Alliance,https://system.gotsport.com/org_event/events/43086/clubs/25025,http://socalsoccerleague.org
Beach Futbol Club,https://system.gotsport.com/org_event/events/43086/clubs/9029,http://socalsoccerleague.org
Bell Gardens FC,https://system.gotsport.com/org_event/events/43086/clubs/27341,http://socalsoccerleague.org
Boca Orange County,https://system.gotsport.com/org_event/events/43086/clubs/18585,http://socalsoccerleague.org
Borussia Del Mar Soccer Club,https://system.gotsport.com/org_event/events/43086/clubs/18883,http://socalsoccerleague.org
California Athletic SC,https://system.gotsport.com/org_event/events/43086/clubs/8337,http://socalsoccerleague.org
California Football Academy,https://system.gotsport.com/org_event/events/43086/clubs/13607,http://socalsoccerleague.org
California Rush Soccer Club,https://system.gotsport.com/org_event/events/43086/clubs/13228,http://socalsoccerleague.org
