club_name,city,state,leagues,tiers,top_tier,age_groups,gender,annual_fee_range,travel_scope,source_files
90+ Project SC,,,WPL N1 (Washington),L5,L5,"U15, U19",Both,,,npl_clubs.csv
956 United,,,MLS Next AD,L3,L3,,Boys,,,mlsnext_academy_division.csv
AC Los Banos,,,NorCal N1,L5,L5,U17,Both,,,npl_clubs.csv
AC Marin,,,NorCal N1,L5,L5,U12,Both,,,npl_clubs.csv
AC Pacifico,,,WPL N1 (Washington),L5,L5,"U15, U16, U17, U19",Both,,,npl_clubs.csv
AC River,,,MLS Next AD,L3,L3,,Boys,,,mlsnext_academy_division.csv
Academia de Futbol Atlas FC Chicago,,,NISL N1 (Chicago),L5,L5,U13,Both,,,npl_clubs.csv
Academia de Glen Burnie Soccer Club,,,CPSL N1 (Chesapeake),L5,L5,U13,Both,,,npl_clubs.csv
Ajax FC Naperville,,,NISL N1 (Chicago),L5,L5,U17,Both,,,npl_clubs.csv
Akron Metro Futbol Club,,,GLA N1,L5,L5,,Both,,,npl_clubs.csv
Albany Berkeley Soccer Club,,,NorCal N1,L5,L5,U17,Both,,,npl_clubs.csv
ALBION SC Silicon Valley,,,NorCal N1,L5,L5,,Both,,,npl_clubs.csv
ALBION SC Silicon Valley East Bay,,,NorCal N1,L5,L5,U15,Both,,,npl_clubs.csv
All In Futbol Club Tennessee,,,South Atlantic Premier,L5,L5,"U13, U15",Both,,,npl_clubs.csv
Allegheny Force FC,,,GLA N1,L5,L5,"U15, U16",Both,,,npl_clubs.csv
Alliance Futbol Club (MO),,,Frontier Premier League,L5,L5,"U13, U14",Both,,,npl_clubs.csv
Allstars SC,,,NorCal N1,L5,L5,,Both,,,npl_clubs.csv
Ambassadors FC (OH),,,GLA N1,L5,L5,"U10, U11, U12, U13, U14, U15, U16",Both,,,npl_clubs.csv
Amelia Island YSO,,,FCL N1 (Florida),L5,L5,U15,Both,,,npl_clubs.csv
Americas Futbol Club,,,Red River N1,L5,L5,U14,Both,,,npl_clubs.csv
Ancient City SC,,,FCL N1 (Florida),L5,L5,,Both,,,npl_clubs.csv
Annapolis Select Futbol Club,,,CPSL N1 (Chesapeake),L5,L5,U15,Both,,,npl_clubs.csv
Armada Futbol Club,,,South Atlantic Premier,L5,L5,"U13, U15",Both,,,npl_clubs.csv
ASG,,,MLS Next AD,L3,L3,,Boys,,,mlsnext_academy_division.csv
Ashland Youth SL,,,VPSL N1 (Virginia),L5,L5,U14,Both,,,npl_clubs.csv
