club,club_id,season,league,region,coast_url
Alliance Indio,412,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=412
Antelope Valley FC,768,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=768
AYSO S1 Alliance,417,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=417
AYSO United Redlands,428,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=428
Brazil Stars Soccer Club,903,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=903
C.D. Cobras,402,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=402
California Madrid Elite,469,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=469
California State SL,101,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=101
Califut,286,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=286
Central Coast Surf,273,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=273
Club Real Atotonilco,249,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=249
Coachella Valley SL,416,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=416
Colton America SC,666,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=666
Compton United FC,243,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=243
Corona Sharks FC,418,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=418
CYSA Premier Academy,889,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=889
Desert Communities SC,973,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=973
Desert Empire Surf,934,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=934
Downey FC,813,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=813
Downtown LA Soccer Club,946,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=946
Evolution SC,421,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=421
FarWest United,466,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=466
FC California Velocity,918,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=918
