club_name,state,conference,league,season
ALBION SC Hawaii,HI,Pacific Northwest,Elite Academy League,2025-26
Atletico Roja,WA,Pacific Northwest,Elite Academy League,2025-26
BVBA Washington,WA,Pacific Northwest,Elite Academy League,2025-26
Mt. Rainier Futbol Club,WA,Pacific Northwest,Elite Academy League,2025-26
Seattle Celtic,WA,Pacific Northwest,Elite Academy League,2025-26
Sparta Tacoma,WA,Pacific Northwest,Elite Academy League,2025-26
Sting SC,WA,Pacific Northwest,Elite Academy League,2025-26
Valencia CF Academy,WA,Pacific Northwest,Elite Academy League,2025-26
Washington East Surf Columbia Basin,WA,Pacific Northwest,Elite Academy League,2025-26
Western WA Surf Elite Central,WA,Pacific Northwest,Elite Academy League,2025-26
Western WA Surf Elite South,WA,Pacific Northwest,Elite Academy League,2025-26
ALBION SC Central Valley,CA,Northwest NorCal,Elite Academy League,2025-26
Blues FC,CA,Northwest NorCal,Elite Academy League,2025-26
Football Club Alliance,CA,Northwest NorCal,Elite Academy League,2025-26
Dublin United Football Club,CA,Northwest NorCal,Elite Academy League,2025-26
Nevada Futbol Club,NV,Northwest NorCal,Elite Academy League,2025-26
North Coast FC,CA,Northwest NorCal,Elite Academy League,2025-26
Roseville Youth Soccer Club,CA,Northwest NorCal,Elite Academy League,2025-26
Sonoma Valley United,CA,Northwest NorCal,Elite Academy League,2025-26
TSF FC,CA,Northwest NorCal,Elite Academy League,2025-26
ALBION SC Los Angeles,CA,Southwest,Elite Academy League,2025-26
ALBION SC Riverside,CA,Southwest,Elite Academy League,2025-26
ALBION SC San Diego,CA,Southwest,Elite Academy League,2025-26
ALBION SC Santa Ana,CA,Southwest,Elite Academy League,2025-26
ALBION SC Santa Monica,CA,Southwest,Elite Academy League,2025-26
California Football Academy DC,CA,Southwest,Elite Academy League,2025-26
Central Cal Aztecs,CA,Southwest,Elite Academy League,2025-26
CITY SC SoCal Mac,CA,Southwest,Elite Academy League,2025-26
CITY SC San Marcos,CA,Southwest,Elite Academy League,2025-26
Chula Vista FC,CA,Southwest,Elite Academy League,2025-26
FC Golden State Force,CA,Southwest,Elite Academy League,2025-26
Laguna United FC,CA,Southwest,Elite Academy League,2025-26
Oaks FC,CA,Southwest,Elite Academy League,2025-26
Rangers FC,CA,Southwest,Elite Academy League,2025-26
AC Brea,CA,Southwest,Elite Academy League,2025-26
ALBION SC Antelope Valley,CA,Southwest,Elite Academy League,2025-26
Boca OC,CA,Southwest,Elite Academy League,2025-26
City SC San Diego,CA,Southwest,Elite Academy League,2025-26
Fram Soccer Club,CA,Southwest,Elite Academy League,2025-26
Inland Surf Club,CA,Southwest,Elite Academy League,2025-26
LA Surf Futures,CA,Southwest,Elite Academy League,2025-26
LA Surf LC,CA,Southwest,Elite Academy League,2025-26
LAIFC,CA,Southwest,Elite Academy League,2025-26
Los Angeles Football Club,CA,Southwest,Elite Academy League,2025-26
Los Angeles Sports Club,CA,Southwest,Elite Academy League,2025-26
FLYTTE SC Inland Empire,CA,Southwest,Elite Academy League,2025-26
Sand & Surf Soccer Club,CA,Southwest,Elite Academy League,2025-26
Young Fire FC,CA,Southwest,Elite Academy League,2025-26
SoCal Elite FC,CA,Southwest,Elite Academy League,2025-26
Strikers FC,CA,Southwest,Elite Academy League,2025-26
Strikers FC North,CA,Southwest,Elite Academy League,2025-26
Total Futbol Academy DC,CA,Southwest,Elite Academy League,2025-26
Total Futbol Academy,CA,Southwest,Elite Academy League,2025-26
Ventura County Fusion,CA,Southwest,Elite Academy League,2025-26
ALBION SC Boulder County,CO,Southwest Desert,Elite Academy League,2025-26
ALBION SC Denver,CO,Southwest Desert,Elite Academy League,2025-26
ALBION SC Las Vegas,NV,Southwest Desert,Elite Academy League,2025-26
City SC Utah,UT,Southwest Desert,Elite Academy League,2025-26
Club X Academy,CO,Southwest Desert,Elite Academy League,2025-26
Colorado Elevation FC,CO,Southwest Desert,Elite Academy League,2025-26
Colorado Rapids Youth Soccer Club,CO,Southwest Desert,Elite Academy League,2025-26
Colorado Rush,CO,Southwest Desert,Elite Academy League,2025-26
Colorado United,CO,Southwest Desert,Elite Academy League,2025-26
FC Deportivo Arizona,AZ,Southwest Desert,Elite Academy League,2025-26
Las Vegas Elite FC,NV,Southwest Desert,Elite Academy League,2025-26
RSL AZ North,AZ,Southwest Desert,Elite Academy League,2025-26
RSL AZ South,AZ,Southwest Desert,Elite Academy League,2025-26
RSL AZ Southern,AZ,Southwest Desert,Elite Academy League,2025-26
City SC NOCO,CO,Southwest Desert,Elite Academy League,2025-26
Utah Athletic,UT,Southwest Desert,Elite Academy League,2025-26
Utah Celtic FC,UT,Southwest Desert,Elite Academy League,2025-26
Utah Red Wolves SC,UT,Southwest Desert,Elite Academy League,2025-26
Utah United,UT,Southwest Desert,Elite Academy League,2025-26
Villarreal Las Vegas Academy,NV,Southwest Desert,Elite Academy League,2025-26
Croatian Eagles SC,IL,Mid-America North,Elite Academy League,2025-26
Eclipse Select,IL,Mid-America North,Elite Academy League,2025-26
FC Stars,IL,Mid-America North,Elite Academy League,2025-26
FC1 Academy,IL,Mid-America North,Elite Academy League,2025-26
Forward Madison FC,WI,Mid-America North,Elite Academy League,2025-26
Manitou FC,CO,Mid-America North,Elite Academy League,2025-26
SC Wave WCOB,WI,Mid-America North,Elite Academy League,2025-26
Team Chicago,IL,Mid-America North,Elite Academy League,2025-26
Chicago City Soccer Club,IL,Mid-America North,Elite Academy League,2025-26
Wave Soccer Club,WI,Mid-America North,Elite Academy League,2025-26
Chicago Empire FC,IL,Mid-America South,Elite Academy League,2025-26
Chicago KICS Youth Soccer Club,IL,Mid-America South,Elite Academy League,2025-26
Gunners Soccer Club,IN,Mid-America South,Elite Academy League,2025-26
Hoosier FC,IN,Mid-America South,Elite Academy League,2025-26
Indy Premier SC,IN,Mid-America South,Elite Academy League,2025-26
JB Marine Soccer Club,IN,Mid-America South,Elite Academy League,2025-26
St. Charles FC,IL,Mid-America South,Elite Academy League,2025-26
United Elite SC,IN,Mid-America South,Elite Academy League,2025-26
USA of Indiana,IN,Mid-America South,Elite Academy League,2025-26
ALBION SC Brooklyn,NY,Northeast,Elite Academy League,2025-26
Black River Athletics,NY,Northeast,Elite Academy League,2025-26
Buffalo Pro Soccer Academy,NY,Northeast,Elite Academy League,2025-26
