club_id,club_name,region,state,conferences,age_groups,website
9,SUSA FC ACADEMY,East,NY,New England,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://susafc.org
10,Albion Hurricanes FC,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://albionhurricanes.org
13,Sporting CA USA,West,CA,Southwest,B2008 | B2012 | B2013,https://sportingcausa.com
14,Atlanta Fire United,East,GA,Southeast,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://atlantafire.com
16,Beach FC (CA),West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://beachfutbolclub.com
18,Alabama FC,Central,AL,Mid-America,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://alabamafc.org
22,NCFC Youth Academy,East,NC,Mid-Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://ncfcyouth.com
26,Charlotte SA Academy,East,NC,Mid-Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://charlottesa.com
28,Colorado Rush Academy Blue,Central,CO,Mountain,B2008 | B2009 | B2010 | B2012 | B2013,https://coloradorush.com
29,Colorado Rapids Central,Central,CO,Mountain | Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://www.coloradorapidscentral.com
30,Concorde Fire Platinum,East,GA,Southeast,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://concordefire.com
31,Connecticut FC United,East,CT,New England,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://ctfcunited.com
35,DKSC,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://dksc.com
37,Dallas Texans Academy,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://dallastexans.com
39,Legends FC San Diego,West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://legendsfc.com
42,East Meadow SC,East,NY,New England,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://eastmeadowsc.com
43,Eclipse Select SC,East,IL,Midwest,B2009 | B2010 | B2011 | B2012 | B2013,https://eclipseselect.com
46,HEX FC Dominion,East,PA,North Atlantic,B2009 | B2010 | B2011 | B2012 | B2013,https://hexfc.com
47,FC Dallas Red,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://fcdallas.com
51,Boise Timbers FC,West,ID,Far West,B2008 | B2009 | B2010 | B2012 | B2013,https://boisetimbersthorns.org
52,FC Stars,East,MA,New England,B2008 | B2009 | B2010 | B2012 | B2013,https://starsofma.org
56,GSA,East,GA,Southeast,B2008 | B2009 | B2011 | B2012 | B2013,https://gsa-soccer.com
57,LV Heat Surf,West,NV,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://lvheat.com
61,Legends FC,West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://legendsfc.com
62,Lonestar Soccer Club Red,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://lonestarsoccer.com
64,Match Fit Surf,East,NJ,North Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://matchfitacademy.com
67,Minnesota Thunder,East,MN,Midwest,B2008 | B2010 | B2011 | B2012 | B2013,https://mnthunder.com
69,Mustang SC,West,CA,Northern Cal,B2008 | B2011 | B2012 | B2013,https://mustangsc.com
71,NC Fusion,East,NC,Mid-Atlantic,B2008 | B2009 | B2010 | B2012 | B2013,https://ncfusion.com
75,Ohio Elite SA,East,OH,Ohio Valley,B2010 | B2011 | B2012 | B2013,https://ohioelite.com
79,Penn Fusion SA,East,PA,North Atlantic,B2008 | B2009 | B2011 | B2012 | B2013,https://pennfusion.com
81,Real Colorado Academy,Central,CO,Texas | Mountain,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://realcolorado.com
82,LAFC So Cal,West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://lafcsocal.com
86,SDSC Surf,West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://sdscsurfclub.com
87,San Diego Surf,West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://surfsoccer.com
