club_id,team_id,club_name,conference,age_group
3405,91703,Pipeline SC,ECNL Boys North Atlantic 2025-26,B2013
37,114453,Dallas Texans Academy,ECNL Boys Texas 2025-26,B2013
893,98194,St Croix,ECNL Boys Midwest 2025-26,B2013
3476,82883,XF Academy,ECNL Boys Northwest 2025-26,B2013
525,115421,Arlington Soccer,ECNL Boys Mid-Atlantic 2025-26,B2013
2937,112887,Oregon Premier,ECNL Boys Far West 2025-26,B2013
116,94610,World Class FC,ECNL Boys New England 2025-26,B2013
87,105078,San Diego Surf,ECNL Boys Southwest 2025-26,B2013
3054,99066,Placer United,ECNL Boys Northern Cal 2025-26,B2013
3478,82565,Cleveland Force SC,ECNL Boys Ohio Valley 2025-26,B2013
1760,117541,La Roca FC,ECNL Boys Mountain 2025-26,B2013
5213,111722,Louisiana Fire Soccer Club,ECNL Boys Mid-America 2025-26,B2013
56,116861,GSA,ECNL Boys Southeast 2025-26,B2013
2106,98161,Chicago Magic,ECNL Boys Midwest 2025-26,B2013
2955,99191,River Islands Surf B13 ECNL,ECNL Boys Northern Cal 2025-26,B2013
294,99148,MVLA,ECNL Boys Northern Cal 2025-26,B2013
13,81816,Sporting CA USA,ECNL Boys Southwest 2025-26,B2013
86,78750,SDSC Surf,ECNL Boys Southwest 2025-26,B2013
451,96685,LVU Rush,ECNL Boys North Atlantic 2025-26,B2013
47,116038,FC Dallas Red,ECNL Boys Texas 2025-26,B2013
1643,99133,Seattle United,ECNL Boys Northwest 2025-26,B2013
22,113820,NCFC Youth Academy,ECNL Boys Mid-Atlantic 2025-26,B2013
2258,111928,HTX,ECNL Boys Texas 2025-26,B2013
79,94711,Penn Fusion SA,ECNL Boys North Atlantic 2025-26,B2013
379,98666,Florida Kraze,ECNL Boys Florida 2025-26,B2013
3065,98785,Association FC,ECNL Boys Northern Cal 2025-26,B2013
1354,117352,Tennessee SC,ECNL Boys Mid-America 2025-26,B2013
9,95342,SUSA FC ACADEMY,ECNL Boys New England 2025-26,B2013
3486,117251,FC Wichita,ECNL Boys Heartland 2025-26,B2013
1353,113644,Sporting Jax,ECNL Boys Florida 2025-26,B2013
2322,101929,Columbia Premier SC,ECNL Boys Northwest 2025-26,B2013
3483,98475,Sporting Iowa,ECNL Boys Heartland 2025-26,B2013
1713,115101,Nationals Soccer Club,ECNL Boys Ohio Valley 2025-26,B2013
37,114452,Dallas Texans,ECNL Boys Texas 2025-26,B2013
1925,112971,Fort Lauderdale United FC,ECNL Boys Florida 2025-26,B2013
62,114698,Lonestar Soccer Club Red,ECNL Boys Texas 2025-26,B2013
4368,98264,El Paso Locomotive,ECNL Boys Mountain 2025-26,B2013
26,112513,Charlotte SA Academy,ECNL Boys Mid-Atlantic 2025-26,B2013
30,112293,Concorde Fire Platinum,ECNL Boys Southeast 2025-26,B2013
81,113311,Real Colorado Academy,ECNL Boys Texas 2025-26,B2013
2133,80818,OK Energy FC,ECNL Boys Texas 2025-26,B2013
61,65098,Legends FC,ECNL Boys Southwest 2025-26,B2013
71,112978,NC Fusion,ECNL Boys Mid-Atlantic 2025-26,B2013
329,98603,NTH-NASA,ECNL Boys Southeast 2025-26,B2013
28,112022,Colorado Rush Academy Blue,ECNL Boys Mountain 2025-26,B2013
82,82148,LAFC So Cal,ECNL Boys Southwest 2025-26,B2013
113,78674,West Coast FC,ECNL Boys Southwest 2025-26,B2013
3644,109194,South Carolina Surf,ECNL Boys Southeast 2025-26,B2013
18,83948,Alabama FC,ECNL Boys Mid-America 2025-26,B2012
61,95395,Legends FC,ECNL Boys Southwest 2025-26,B2012
2133,94439,OK Energy FC,ECNL Boys Texas 2025-26,B2012
1353,94388,Sporting Jax,ECNL Boys Florida 2025-26,B2012
379,39797,Florida Kraze,ECNL Boys Florida 2025-26,B2012
69,84703,Mustang SC,ECNL Boys Northern Cal 2025-26,B2012
3476,94930,XF Academy,ECNL Boys Northwest 2025-26,B2012
398,79561,Eastside FC,ECNL Boys Northwest 2025-26,B2012
1797,84625,FC Wisconsin,ECNL Boys Midwest 2025-26,B2012
29,82619,Colorado Rapids Central,ECNL Boys Mountain 2025-26,B2012
79,94710,Penn Fusion SA,ECNL Boys North Atlantic 2025-26,B2012
2548,40071,Santa Clara Sporting,ECNL Boys Northern Cal 2025-26,B2012
1501,54743,FC Pride Elite,ECNL Boys Ohio Valley 2025-26,B2012
26,94384,Charlotte SA Academy,ECNL Boys Mid-Atlantic 2025-26,B2012
2258,90777,HTX,ECNL Boys Texas 2025-26,B2012
1730,114373,Missouri Rush,ECNL Boys Heartland 2025-26,B2012
22,95045,NCFC Youth Academy,ECNL Boys Mid-Atlantic 2025-26,B2012
87,71287,San Diego Surf,ECNL Boys Southwest 2025-26,B2012
116,94666,World Class FC,ECNL Boys New England 2025-26,B2012
2701,95401,Delaware FC,ECNL Boys North Atlantic 2025-26,B2012
30,83908,Concorde Fire Platinum,ECNL Boys Southeast 2025-26,B2012
1785,94869,VDA,ECNL Boys Mid-Atlantic 2025-26,B2012
518,95286,Manhattan SC,ECNL Boys New England 2025-26,B2012
3956,96283,Capital FC,ECNL Boys Far West 2025-26,B2012
2536,84707,United PDX,ECNL Boys Far West 2025-26,B2012
28,112021,Colorado Rush Academy Blue,ECNL Boys Mountain 2025-26,B2012
1643,84928,Seattle United,ECNL Boys Northwest 2025-26,B2012
4355,94432,SJEBFC,ECNL Boys North Atlantic 2025-26,B2012
1925,44803,Fort Lauderdale United FC,ECNL Boys Florida 2025-26,B2012
