club_id,club_name,conference,age_groups,league,season
26,Charlotte SA Blue ECNL RL B08/07,Carolinas,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4012,Highland FC ECNL RL B08/07,Carolinas,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
71,NC Fusion ECNL RL B08/07,Carolinas,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
22,NCFC Youth Elite ECNL RL B08/07,Carolinas,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2181,Wilmington Hammerheads RL B08/07,Carolinas,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2419,Bloomingdale Lightning FC ECNL RL B13,Chicago Metro,B2009 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2476,Chicago City SC ECNL RL B13,Chicago Metro,B2008/2007 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3153,Chicago Soccer Academy ECNL RL B13,Chicago Metro,B2013,ECNL RL Boys,2025-26
1255,FC 1974 Libertyville ECNL RL B13,Chicago Metro,B2010 | B2013,ECNL RL Boys,2025-26
4326,Force ECNL RL B13,Chicago Metro,B2009 | B2013,ECNL RL Boys,2025-26
4324,Northern Indiana Express ECNL RL B13,Chicago Metro,B2008/2007 | B2009 | B2010 | B2013,ECNL RL Boys,2025-26
5009,Roadrunners SC ECNL RL B13,Chicago Metro,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
51,Boise Timbers FC ECNL RL B13,Far West,B2008/2007 | B2013,ECNL RL Boys,2025-26
3956,Capital FC ECNL RL B13,Far West,B2011 | B2013,ECNL RL Boys,2025-26
2554,Eastside Timbers ECNL RL B13,Far West,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
4330,Eugene Metro FC ECNL RL B13,Far West,B2013,ECNL RL Boys,2025-26
603,FC Portland ECNL RL B13,Far West,B2013,ECNL RL Boys,2025-26
1813,Idaho Rush ECNL RL B13,Far West,B2013,ECNL RL Boys,2025-26
2937,Oregon Premier FC ECNL RL B13,Far West,B2010 | B2011 | B2013,ECNL RL Boys,2025-26
4344,Portland City United ECNL RL B13 Red 1,Far West,B2008/2007 | B2010 | B2013,ECNL RL Boys,2025-26
2536,United PDX ECNL RL B13,Far West,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
3390,Cape Coral SA ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
354,Davie United SC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
2237,Doral Soccer Club ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
5158,FC America ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
2329,FC Prime ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
3055,FHFC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
2731,FL Premier FC Black ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
3424,Florida Celtic ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
379,Florida Kraze ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
3384,Florida West FC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
1925,Fort Lauderdale United FC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
4568,Orlando City Lake Nona ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
3387,Parkland SC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
3303,South Orlando Soccer Club ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
1919,Space Coast United ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
4317,Sporting Club Tallahassee ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
1353,Sporting Jax ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
4566,Springs SC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
4873,Strikers Miami FC ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
4795,Tropical Soccer Club ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
840,Wellington ECNL RL B13,Florida,B2013,ECNL RL Boys,2025-26
3585,Arkansas Comets FC ECNL RL B13,Frontier,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3594,Arkansas Rising ECNL RL B13,Frontier,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
3620,FC Tulsa Academy ECNL RL B13,Frontier,B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
3694,Kernow Storm FC Frontier ECNL RL B13,Frontier,B2009 | B2013,ECNL RL Boys,2025-26
2133,OK Energy FC II ECNL RL B13,Frontier,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2250,Oklahoma Cosmos ECNL RL B13,Frontier,B2010 | B2012 | B2013,ECNL RL Boys,2025-26
5136,SW Missouri Rush ECNL RL B13,Frontier,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
106,Tulsa SC ECNL RL B13,Frontier,B2008/2007 | B2013,ECNL RL Boys,2025-26
3587,West Side Alliance Red ECNL RL B13,Frontier,B2010 | B2012 | B2013,ECNL RL Boys,2025-26
4342,1974 Newark FC ECNL RL B13,Golden State,B2013,ECNL RL Boys,2025-26
3065,Association FC ECNL RL B13,Golden State,B2009 | B2013,ECNL RL Boys,2025-26
1470,COSC ECNL RL B13,Golden State,B2011 | B2013,ECNL RL Boys,2025-26
4518,Club America Stockton ECNL RL B13,Golden State,B2010 | B2013,ECNL RL Boys,2025-26
1425,Davis Legacy ECNL RL B13,Golden State,B2009 | B2013,ECNL RL Boys,2025-26
4063,El Camino Futbol Club Salinas ECNL RL B13,Golden State,B2008/2007 | B2012 | B2013,ECNL RL Boys,2025-26
3231,Los Gatos United ECNL RL B13,Golden State,B2013,ECNL RL Boys,2025-26
1585,Marin FC ECNL RL B13,Golden State,B2013,ECNL RL Boys,2025-26
