team_id,club_id,team_name,club_name,age_group,conference,league,season
47541,26,Charlotte SA Blue ECNL RL B08/07,Charlotte SA Blue ECNL RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
47551,26,Charlotte SA White ECNL RL B08/07,Charlotte SA White ECNL RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
114742,4012,Highland FC ECNL RL B08/07,Highland FC ECNL RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
47557,71,NC Fusion ECNL RL B08/07,NC Fusion ECNL RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
47575,22,NCFC Youth Elite ECNL RL B08/07,NCFC Youth Elite ECNL RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
47581,22,NCFC Youth Premier ECNL RL B08/07,NCFC Youth Premier ECNL RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
47593,2181,Wilmington Hammerheads RL B08/07,Wilmington Hammerheads RL B08/07,B2008/2007,Carolinas,ECNL RL Boys,2025-26
59868,26,Charlotte SA Blue ECNL RL B09,Charlotte SA Blue ECNL RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
59876,26,Charlotte SA White ECNL RL B09,Charlotte SA White ECNL RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
114743,4012,Highland FC ECNL RL B09,Highland FC ECNL RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
59960,71,NC Fusion ECNL RL B09,NC Fusion ECNL RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
59959,22,NCFC Youth Elite ECNL RL B09,NCFC Youth Elite ECNL RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
60002,22,NCFC Youth Premier ECNL RL B09,NCFC Youth Premier ECNL RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
59889,2181,Wilmington Hammerheads RL B09,Wilmington Hammerheads RL B09,B2009,Carolinas,ECNL RL Boys,2025-26
68762,26,Charlotte SA Blue ECNL RL B10,Charlotte SA Blue ECNL RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
68761,26,Charlotte SA White ECNL RL B10,Charlotte SA White ECNL RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
114744,4012,Highland FC ECNL RL B10,Highland FC ECNL RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
62867,71,NC Fusion ECNL RL B10,NC Fusion ECNL RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
69372,22,NCFC Youth Elite ECNL RL B10,NCFC Youth Elite ECNL RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
69316,22,NCFC Youth Premier ECNL RL B10,NCFC Youth Premier ECNL RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
69449,2181,Wilmington Hammerheads RL B10,Wilmington Hammerheads RL B10,B2010,Carolinas,ECNL RL Boys,2025-26
81118,26,Charlotte SA Blue ECNL RL B11,Charlotte SA Blue ECNL RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
81110,26,Charlotte SA White ECNL RL B11,Charlotte SA White ECNL RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
114745,4012,Highland FC ECNL RL B11,Highland FC ECNL RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
82110,71,NC Fusion ECNL RL B11,NC Fusion ECNL RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
81065,22,NCFC Youth Elite ECNL RL B11,NCFC Youth Elite ECNL RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
81274,22,NCFC Youth Premier ECNL RL B11,NCFC Youth Premier ECNL RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
81417,2181,Wilmington Hammerheads RL B11,Wilmington Hammerheads RL B11,B2011,Carolinas,ECNL RL Boys,2025-26
94565,26,Charlotte SA Blue ECNL RL B12,Charlotte SA Blue ECNL RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
94564,26,Charlotte SA White ECNL RL B12,Charlotte SA White ECNL RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
114747,4012,Highland FC ECNL RL B12,Highland FC ECNL RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
95056,71,NC Fusion ECNL RL B12,NC Fusion ECNL RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
94746,22,NCFC Youth Elite ECNL RL B12,NCFC Youth Elite ECNL RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
94850,22,NCFC Youth Premier ECNL RL B12,NCFC Youth Premier ECNL RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
95475,2181,Wilmington Hammerheads RL B12,Wilmington Hammerheads RL B12,B2012,Carolinas,ECNL RL Boys,2025-26
112746,26,Charlotte SA Blue ECNL RL B13,Charlotte SA Blue ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
112743,26,Charlotte SA White ECNL RL B13,Charlotte SA White ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
114748,4012,Highland FC ECNL RL B13,Highland FC ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
112979,71,NC Fusion ECNL RL B13,NC Fusion ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
112370,22,NCFC Youth Elite ECNL RL B13,NCFC Youth Elite ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
112371,22,NCFC Youth Premier ECNL RL B13,NCFC Youth Premier ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
114820,2181,Wilmington Hammerheads ECNL RL B13,Wilmington Hammerheads ECNL RL B13,B2013,Carolinas,ECNL RL Boys,2025-26
82908,2476,Chicago City SC ECNL RL B08/07,Chicago City SC ECNL RL B08/07,B2008/2007,Chicago Metro,ECNL RL Boys,2025-26
80809,4324,Northern Indiana Express ECNL RL B08/07,Northern Indiana Express ECNL RL B08/07,B2008/2007,Chicago Metro,ECNL RL Boys,2025-26
21441,2419,Bloomingdale Lightning FC ECNL RL B09,Bloomingdale Lightning FC ECNL RL B09,B2009,Chicago Metro,ECNL RL Boys,2025-26
81739,4326,Force ECNL RL B09,Force ECNL RL B09,B2009,Chicago Metro,ECNL RL Boys,2025-26
80808,4324,Northern Indiana Express ECNL RL B09,Northern Indiana Express ECNL RL B09,B2009,Chicago Metro,ECNL RL Boys,2025-26
82904,2476,Chicago City SC ECNL RL B10,Chicago City SC ECNL RL B10,B2010,Chicago Metro,ECNL RL Boys,2025-26
81317,1255,FC 1974 Libertyville ECNL RL B10,FC 1974 Libertyville ECNL RL B10,B2010,Chicago Metro,ECNL RL Boys,2025-26
80807,4324,Northern Indiana Express ECNL RL B10,Northern Indiana Express ECNL RL B10,B2010,Chicago Metro,ECNL RL Boys,2025-26
97056,2419,Bloomingdale Lightning FC ECNL RL B11,Bloomingdale Lightning FC ECNL RL B11,B2011,Chicago Metro,ECNL RL Boys,2025-26
82905,2476,Chicago City SC ECNL RL B11,Chicago City SC ECNL RL B11,B2011,Chicago Metro,ECNL RL Boys,2025-26
117193,5009,Roadrunners SC ECNL RL B11,Roadrunners SC ECNL RL B11,B2011,Chicago Metro,ECNL RL Boys,2025-26
97055,2419,Bloomingdale Lightning FC ECNL RL B12,Bloomingdale Lightning FC ECNL RL B12,B2012,Chicago Metro,ECNL RL Boys,2025-26
94514,2476,Chicago City SC ECNL RL B12,Chicago City SC ECNL RL B12,B2012,Chicago Metro,ECNL RL Boys,2025-26
117194,5009,Roadrunners SC ECNL RL B12,Roadrunners SC ECNL RL B12,B2012,Chicago Metro,ECNL RL Boys,2025-26
97159,2419,Bloomingdale Lightning FC ECNL RL B13,Bloomingdale Lightning FC ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
97886,2476,Chicago City SC ECNL RL B13,Chicago City SC ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
114423,3153,Chicago Soccer Academy ECNL RL B13,Chicago Soccer Academy ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
97935,1255,FC 1974 Libertyville ECNL RL B13,FC 1974 Libertyville ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
98297,4326,Force ECNL RL B13,Force ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
114136,4324,Northern Indiana Express ECNL RL B13,Northern Indiana Express ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
117195,5009,Roadrunners SC ECNL RL B13,Roadrunners SC ECNL RL B13,B2013,Chicago Metro,ECNL RL Boys,2025-26
115488,51,Boise Timbers FC ECNL RL B08/07,Boise Timbers FC ECNL RL B08/07,B2008/2007,Far West,ECNL RL Boys,2025-26
114502,4344,PCU Red 1 ECNL RL B08/07,PCU Red 1 ECNL RL B08/07,B2008/2007,Far West,ECNL RL Boys,2025-26
114727,2554,Eastside Timbers ECNL RL B09,Eastside Timbers ECNL RL B09,B2009,Far West,ECNL RL Boys,2025-26
111713,2536,United PDX ECNL RL B09,United PDX ECNL RL B09,B2009,Far West,ECNL RL Boys,2025-26
112869,2937,Oregon Premier FC ECNL RL B10,Oregon Premier FC ECNL RL B10,B2010,Far West,ECNL RL Boys,2025-26
114500,4344,Portland City United ECNL RL B10,Portland City United ECNL RL B10,B2010,Far West,ECNL RL Boys,2025-26
111158,3956,Capital FC ECNL RL B11,Capital FC ECNL RL B11,B2011,Far West,ECNL RL Boys,2025-26
112830,2937,Oregon Premier FC ECNL RL B11,Oregon Premier FC ECNL RL B11,B2011,Far West,ECNL RL Boys,2025-26
114720,2554,Eastside Timbers ECNL RL B12,Eastside Timbers ECNL RL B12,B2012,Far West,ECNL RL Boys,2025-26
111893,2536,United PDX ECNL RL B12,United PDX ECNL RL B12,B2012,Far West,ECNL RL Boys,2025-26
115493,51,Boise Timbers FC ECNL RL B13,Boise Timbers FC ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
116411,3956,Capital FC ECNL RL B13,Capital FC ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
114719,2554,Eastside Timbers ECNL RL B13,Eastside Timbers ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
