club_name,city,state,league,tier,tier_label,source
A3 Soccer,Edison,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
AC Delray,Delray Beach,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Academia Doral Soccer Club,Doral,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ajax Premier CT,Unknown,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
ALBION SC Delaware,Unknown,DE,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Alexandria SA,Alexandria,VA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
American Soccer Club of NJ,Newark,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Anthracite FC,Tamaqua,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Atletico de Madrid Academia Miami,Miami,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Back Mountain Surf,Dallas,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Baltimore Armour,Baltimore,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Baltimore Bays Soccer Club,Baltimore,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Baltimore Celtic Soccer Club,Baltimore,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Baltimore Stars FC,Baltimore,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Barca Academy Orlando,Orlando,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
BARCA Academy Pro Miami,Miami,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Barcelona SC NYC,Woodhaven,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bayonne Youth Soccer Association,Bayonne,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bayshore Soccer Club,Middletown,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Beachside SC,Unknown,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Beachside SC North,Unknown,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bensalem Soccer Academy,Bensalem,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bergenfield United SC,Bergenfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Berkeley Heights Youth Soccer Club,Berkeley Heights,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
BEST FC Soccer Club,Northborough,MA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bethesda SC,Bethesda,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bloomfield SC,Bloomfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Blue Mountain SC,Orwigsburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bordentown FC,Bordentown,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Branchburg Travel SC,Branchburg,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Brewster FC,Brewster,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Brick Township SA,Brick,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Bridgewater SA,Bridgewater,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Brooklyn Italians SC,Brooklyn,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Buckingham United Soccer Club,Doylestown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Camp Hill SC,Camp Hill,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cedar Stars Academy,Carlstadt,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cedar Stars Academy - Monmouth,Tinton Falls,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cedar Stars Academy (Staten Island),Staten Island,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Centercourt FC,Unknown,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Central Jersey Futbol Alliance,Monroe Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Central Susquehanna SC,Lewisburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
CFC North,Newtown,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Chatham United SA,Chatham,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Chelsea Piers Soccer Club,Stamford,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cherry Hill FC,Cherry Hill,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cherry Hill SC,Cherry Hill,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cheshire Soccer Academy,Cheshire,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Chestnut Hill Soccer Club,Philadelphia,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
