conference,club_name,state,league,gender,source_url
Frontier,BVB International Academy NTX,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,HTX Soccer,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,Lonestar SC Red,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,Lonestar SC Black,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,Lou Fusz Athletic,MO,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,Louisiana TDP Elite,LA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,Renegades Soccer Club,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,RISE Soccer Club,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,San Antonio City SC,TX,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Frontier,St. Louis Development Academy,MO,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Chicago FC United,IL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Cincinnati United Premier,OH,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Indy Premier United,IN,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Lexington Sporting Club,KY,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Michigan Jaguars FC,MI,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Nationals Blue,MI,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Nationals Gray,MI,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-America,Sockers FC,IL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,Central Illinois United,IL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,Galaxy SC,IL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,Kansas Rush Soccer Club,KS,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,Salvo SC,MN,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,SC Wave,WI,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,Sporting Nebraska FC,NE,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,Tonka Fusion Elite,MN,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Midwest,VSA Rush,IA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Baltimore Armour,MD,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Baltimore Celtic,MD,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Beadling SC,PA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Century United FC,PA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Keystone FC,PA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Philadelphia Ukrainian Nationals,PA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,PA Classics,PA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Real Jersey FC,NJ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,SJEB FC,NJ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Skyline Elite SC,VA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,Sporting AC,DE,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mid-Atlantic,TSJ FC Virginia,VA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,Albion SC Las Vegas,NV,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,Broomfield Soccer Club,CO,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
