national_rank,association_rank,regional_rank,club_name,team_name,team_association,team_region,total_points,total_wins,total_losses,total_draws,total_matches,win_percent,ranking_date,team_id,age,gender
7,1,6,Phenom Soccer Academy,PHENOM BU11 | PRE-ELITE,CAS,4,23676,19,7,3,29,0.6551724137931034,2026-06-09,479883,10,m
19,2,10,ALBION SC San Diego,ALBION SC San Diego B16 Academy',CAS,4,17300,27,3,0,30,0.9,2026-06-09,605696,10,m
37,3,16,Celtic Soccer Club (S-CA),Celtic Harps B16,CAS,4,13488,32,8,5,45,0.7111111111111111,2026-06-09,368848,10,m
97,4,41,TOTAL FUTBOL ACADEMY (CA),TFA-SELA BU11 White,CAS,4,8889,46,8,4,58,0.7931034482758621,2026-06-09,480646,10,m
101,5,44,Inland Surf,BU11 EA,CAS,4,8679,17,8,3,28,0.6071428571428571,2026-06-09,352313,10,m
141,6,72,SDSC Surf,B2016 Blue 25/26,CAS,4,6861,20,2,4,26,0.7692307692307693,2026-06-09,203298,10,m
147,7,75,FC Golden State,BU11 Force,CAS,4,6673,22,13,2,37,0.5945945945945946,2026-06-09,444693,10,m
153,8,77,Fontana FC,Fontana FC,CAS,4,6553,23,8,1,32,0.71875,2026-06-09,391360,10,m
156,9,79,Oaks FC,Oaks FC BU10 EA,CAS,4,6472,19,2,4,25,0.76,2026-06-09,708053,10,m
191,10,91,Beach Futbol Club,BU11 SB Dodds,CAS,4,5643,16,10,4,30,0.5333333333333333,2026-06-09,455761,10,m
216,11,101,Beach Futbol Club,B2016 LB B. Artiaga,CAS,4,5071,27,4,3,34,0.7941176470588235,2026-06-09,337419,10,m
218,12,103,SoCal Reds FC,B16 PREMIER - SP,CAS,4,5012,17,9,1,27,0.6296296296296297,2026-06-09,343771,10,m
224,13,108,Strikers FC,Irvine 2016 Anaya,CAS,4,4942,4,0,0,4,1.0,2026-06-09,366515,10,m
233,14,113,ALBION SC San Diego,ALBION SC San Diego B16 Academy''',CAS,4,4770,22,7,0,29,0.7586206896551724,2026-06-09,605697,10,m
243,15,118,San Diego Surf Soccer Club,SD Surf Academy Boys 2016 (Miller),CAS,4,4701,9,1,0,10,0.9,2026-06-09,244872,10,m
250,16,122,Central Cal Aztecs,BU11 Academy,CAS,4,4566,10,20,4,34,0.29411764705882354,2026-06-09,354768,10,m
263,17,128,Inland Surf,BU11 Premier,CAS,4,4410,9,16,2,27,0.3333333333333333,2026-06-09,463996,10,m
270,18,132,,TFA- CENTRAL LA B2016 PRADO),CAS,4,4338,12,2,1,15,0.8,2026-06-09,476137,10,m
285,19,136,Nevada Youth Soccer,Veloz FC,CAS,4,4175,5,0,0,5,1.0,2026-06-09,685958,10,m
291,20,138,Strikers FC,Strikers FC Irvine 2016 Monroe*,CAS,4,4088,15,5,0,20,0.75,2026-06-09,485676,10,m
299,21,142,ELI7E FC ,LEGACY BU11- Felix,CAS,4,3969,13,8,4,25,0.52,2026-06-09,244508,10,m
302,22,145,Possible FC,BU11 Academy,CAS,4,3914,23,8,1,32,0.71875,2026-06-09,290431,10,m
306,23,146,ALBION SC San Diego,ALBION SC San Diego B16 Academy'',CAS,4,3900,17,8,4,29,0.5862068965517241,2026-06-09,605695,10,m
309,24,148,,Riverside B16 Gold,CAS,4,3872,7,5,1,13,0.5384615384615384,2026-06-09,419863,10,m
332,25,157,Downey United Football Club,BU11 EA2,CAS,4,3662,26,11,3,40,0.65,2026-06-09,611945,10,m
338,26,161,Worldwide FC,Worldwide Soccer Club B2016,CAS,4,3585,6,8,3,17,0.35294117647058826,2026-06-09,471641,10,m
347,27,165,San Diego Surf Soccer Club,San Diego Surf Pre-ECNL B16 (Miller),CAS,4,3454,2,0,2,4,0.5,2026-06-09,683869,10,m
357,28,168,Santa Barbara Soccer Club,BU11 Pre-MLS Next - Curry,CAS,4,3302,15,3,1,19,0.7894736842105263,2026-06-09,443092,10,m
361,29,170,Laguna United FC,LUFC B2016 Blue,CAS,4,3256,17,9,1,27,0.6296296296296297,2026-06-09,344453,10,m
364,30,171,Club Deportivo La Esperanza,BU10,CAS,4,3213,12,14,1,27,0.4444444444444444,2026-06-09,322224,10,m
378,31,178,LAFC So Cal,25/26 B2016 GOLD,CAS,4,3116,12,3,0,15,0.8,2026-06-09,350672,10,m
386,33,182,San Diego Surf Soccer Club,SD BAJA B2016,CAS,4,3061,4,0,0,4,1.0,2026-06-09,580381,10,m
388,34,184,CDA Slammers,Cerritos BU11 Luna,CAS,4,3053,29,13,3,45,0.6444444444444445,2026-06-09,445662,10,m
390,35,185,South Bay FC,B-2016 G Arroyo-2025-2026,CAS,4,3045,16,1,1,18,0.8888888888888888,2026-06-09,244207,10,m
395,36,187,FASC,BU11 Red Almaraz,CAS,4,2997,34,22,3,59,0.576271186440678,2026-06-09,602809,10,m
395,36,187,Legends FC (CA),B16 White,CAS,4,2997,17,4,1,22,0.7727272727272727,2026-06-09,456333,10,m
415,38,198,California Athletic SC,BU11 Pre-MLS NEXT AD,CAS,4,2750,20,10,1,31,0.6451612903225806,2026-06-09,368562,10,m
416,39,199,Anaheim Futbol Club,B2016-USSSA,CAS,4,2749,3,4,0,7,0.42857142857142855,2026-06-09,696082,10,m
417,40,200,FC Golden State,B2016 White,CAS,4,2745,35,5,3,43,0.813953488372093,2026-06-09,603472,10,m
418,41,201,Downey Futbol Club,BU10 Blue,CAS,4,2726,11,35,3,49,0.22448979591836735,2026-06-09,364659,10,m
420,42,203,Rangers FC,B2016 Orange,CAS,4,2699,15,13,0,28,0.5357142857142857,2026-06-09,343904,10,m
421,43,204,SoCal Reds FC,B16 PREMIER II - SC,CAS,4,2698,16,13,7,36,0.4444444444444444,2026-06-09,457615,10,m
425,44,205,Oceanside,Breakers BU11 Black,CAS,4,2668,16,6,4,26,0.6153846153846154,2026-06-09,352823,10,m
428,45,206,ALBION SC Los Angeles,Albion SC Santa Ana Academy U11 EA1,CAS,4,2638,19,13,7,39,0.48717948717948717,2026-06-09,474549,10,m
430,46,207,Strikers FC North,BU11 Red,CAS,4,2631,22,5,1,28,0.7857142857142857,2026-06-09,614906,10,m
432,47,209,Dynamo El Centro Soccer Club,Dynamo El Centro Soccer Club Boys 2016 - JC,CAS,4,2625,11,13,3,27,0.4074074074074074,2026-06-09,620636,10,m
