club_name,city,state,league,tier,tier_label,conference,division,gender,source_file
Alabaster Competitive SC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alabama FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alabama FC South,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alabama Rush,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alabama Rush Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alamo FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arab Unknighted,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arsenal Christian Soccer Academy,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Auburn Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Auburn Thunder,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
AYSO Alliance,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
AYSO United,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Baldwin Rush,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Birmingham United Soccer Association (BUSA),,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Blount County Youth Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Blount County Youth Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Briarwood Youth Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Butler United FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Calera Parks and Recreation,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Central Baldwin FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Citronelle Youth Soccer Academy,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Club Independent,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Cullman United,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Decatur Youth Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Demopolis River City,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
EYSA,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Fairhope Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Birmingham,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Montgomery,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Fort Payne / DC Inferno,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Gardendale SC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Helena Huskies Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Homewood Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Hoover Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Hoover-Vestavia Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Hueytown Youth Soccer Association,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Madison Blaze Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Montevallo Youth Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Moody Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Montgomery United Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
North Alabama SC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
North Alabama Soccer Coalition (North Alabama SC),,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
North Star Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
NOW Soccer Academy,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Opelika Soccer Association,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Pelham Parks and Recreation Youth Soccer,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Pell City FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Pell City United SC/Pell City Parks and Recreation,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Phoenix FC AL,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Prattville United SC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Revolution Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
River City United,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Roll Tide Soccer Academy,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Saraland Soccer Academy,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Shoals Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Smiths Station United SC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Soccer Shots Central Alabama,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Soccer Shots North Alabama:,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
South Alabama Soccer Association,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Springville Youth Soccer Association,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Storm FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Total Futbol Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Troy United FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Tuscaloosa United Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Trussville United Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Union 10 FC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Union 10 Mobile,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
United Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Vestavia Hills Soccer Club,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Wetumpka United SC,,AL,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alaska Rush Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alaska Youth Soccer,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Anchorage Youth Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Chugiak Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Chugiak Youth Sports Association,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Cook Inlet Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Crossfire Alaska SC,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Eclipse Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Eclipse Soccer Club (Fairbanks),,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Fairbanks Youth Soccer Association,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Homer United FC,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Juneau Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Kenai Peninsula Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Ketchikan Youth Soccer,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Ketchikan Youth Soccer League,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Palmer Soccer Club,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
United Anchorage Youth Soccer League (UAYSL),,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Valley Revolution,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Wasilla Youth Soccer,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
YMCA of Alaska Youth Soccer Program,,AK,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Amore Soccer,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arizona Arsenal Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arizona Futbol Club (AZFC Select),,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arizona Renegades Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arizona Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Arizona Soccer Skills Academy,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
AZ Soccer Lab,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Barça Residency Academy,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Brazas Futebol Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
CCV Stars,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
CDO Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
East Valley NSFC,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Epic Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Excel Soccer Academy,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Batavia,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Sonora,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Tucson Youth,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Flagstaff Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Freedom Soccer Club,,AZ,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
