rank,player,position,age,season,nationality,club,fee_millions_eur
1,Heung-min Son,LW,33,25/26,South Korea,Los Angeles FC,22.0
2,Emmanuel Latte Lath,CF,26,24/25,Cote d'Ivoire,Atlanta United FC,21.25
3,Josh Sargent,CF,26,25/26,United States,Toronto FC,18.65
4,Kevin Denkey,CF,24,24/25,Togo,FC Cincinnati,15.3
5,Rodrigo De Paul,CM,31,25/26,Argentina,Inter Miami CF,15.0
6,Thiago Almada,LW,20,21/22,Argentina,Atlanta United FC,14.5
7,Gonzalo Martínez,AM,25,18/19,Argentina,Atlanta United FC,14.5
8,Germán Berterame,CF,27,25/26,Mexico,Inter Miami CF,12.6
9,Esequiel Barco,AM,18,17/18,Argentina,Atlanta United FC,12.28
10,Hirving Lozano,LW,29,24/25,Mexico,San Diego FC,12.0
11,Myrto Uzuni,LW,29,24/25,Albania,Austin FC,12.0
12,Brenner,CF,21,20/21,Brazil,FC Cincinnati,11.82
13,Aleksey Miranchuk,AM,28,24/25,Russia,Atlanta United FC,11.8
14,Evander,AM,26,24/25,Brazil,FC Cincinnati,11.5
15,Luiz Araújo,RW,25,21/22,Brazil,Atlanta United FC,11.5
16,Hugo Cuypers,CF,27,23/24,Belgium,Chicago Fire FC,11.0
17,Rodolfo Pizarro,AM,26,19/20,Mexico,Inter Miami CF,10.91
18,Brian Rodriguez,LW,20,19/20,Uruguay,Los Angeles FC,10.45
19,Facundo Torres,RW,21,21/22,Uruguay,Orlando City SC,9.7
20,Brandon Vazquez,CF,26,24/25,United States,Austin FC,9.6
21,Miguel Almirón,RW,30,24/25,Paraguay,Atlanta United FC,9.55
22,Cucho Hernández,CF,23,22/23,Colombia,Columbus Crew,9.55
23,Evander,AM,24,22/23,Brazil,Portland Timbers,9.5
24,Gabriel Pec,RW,22,23/24,Brazil,Los Angeles Galaxy,9.3
25,Ezequiel Ponce,CF,27,24/25,Argentina,Houston Dynamo FC,9.0
26,Petar Musa,CF,25,23/24,Croatia,FC Dallas,9.0
27,Brian Fernández,SS,24,18/19,Argentina,Portland Timbers,9.0
28,Alejandro Pozuelo,AM,27,18/19,Spain,Toronto FC,8.8
29,Alan Pulido,CF,28,19/20,Mexico,Sporting Kansas City,8.64
30,Joseph Paintsil,LW,26,23/24,Ghana,Los Angeles Galaxy,8.5
31,Stipe Biuk,LW,20,22/23,Croatia,Los Angeles FC,8.5
32,Chicharito,CF,31,19/20,Mexico,Los Angeles Galaxy,8.5
33,Clint Dempsey,SS,30,13/14,United States,Seattle Sounders FC,8.18
34,Facundo Torres,RW,25,25/26,Uruguay,Colorado Rapids,8.0
35,Nicolás Fernández Mercau,CF,25,25/26,Argentina,New York City FC,8.0
36,Liel Abada,RW,22,23/24,Israel,Charlotte FC,8.0
37,Jovan Mijatovic,CF,18,23/24,Serbia,New York City FC,8.0
38,Alexandru Mitriță,LW,24,18/19,Romania,New York City FC,8.0
39,Miguel Almirón,RW,22,16/17,Paraguay,Atlanta United FC,7.5
40,Federico Redondo,DM,21,23/24,Argentina,Inter Miami CF,7.45
41,Michael Bradley,CM,26,13/14,United States,Toronto FC,7.35
42,Lucas Zelarayán,AM,27,19/20,Argentina,Columbus Crew SC,7.3
43,Talles Magno,LW,18,20/21,Brazil,New York City FC,7.27
44,Jermain Defoe,CF,31,13/14,England,Toronto FC,7.25
45,Paxten Aaronson,AM,22,25/26,United States,Colorado Rapids,7.0
46,Osman Bukari,RW,25,24/25,Ghana,Austin FC,7.0
47,Agustín Ojeda,LW,19,23/24,Argentina,New York City FC,7.0
48,Xherdan Shaqiri,AM,30,21/22,Switzerland,Chicago Fire FC,7.0
49,Djordje Mihailovic,AM,26,25/26,United States,Toronto FC,6.85
50,Aaron Boupendza,CF,26,23/24,Gabon,FC Cincinnati,6.5
51,Wessam Abou Ali,CF,26,25/26,Palestine,Columbus Crew,6.4
52,Pedro de la Vega,RW,22,23/24,Argentina,Seattle Sounders FC,6.4
53,Sebastián Driussi,CF,25,21/22,Argentina,Austin FC,6.4
54,Alan Velasco,LW,19,21/22,Argentina,FC Dallas,6.4
55,Marcelino Moreno,AM,25,20/21,Argentina,Atlanta United FC,6.36
56,Gustavo Bou,CF,29,19/20,Argentina,New England Revolution,6.36
57,Raúl Ruidíaz,CF,27,18/19,Peru,Seattle Sounders FC,6.36
58,Giovani dos Santos,SS,26,15/16,Mexico,Los Angeles Galaxy,6.36
59,Tomás Avilés,CB,19,23/24,Argentina,Inter Miami CF,6.3
60,Luca Langoni,RW,22,24/25,Argentina,New England Revolution,6.2
61,Aké Loba,CF,23,21/22,Cote d'Ivoire,Nashville SC,6.18
62,Louis Munteanu,CF,23,25/26,Romania,DC United,6.0
63,Kevin Kelsy,CF,20,24/25,Venezuela,Portland Timbers,6.0
64,Diego Rossi,CF,25,23/24,Uruguay,Columbus Crew,6.0
65,Enzo Copetti,CF,27,22/23,Argentina,Charlotte FC,6.0
66,Sam Surridge,CF,25,23/24,England,Nashville SC,5.8
67,David Da Costa,AM,24,24/25,Portugal,Portland Timbers,5.74
68,André Horta,CM,21,18/19,Portugal,Los Angeles FC,5.7
69,Luciano Acosta,AM,30,24/25,Argentina,FC Dallas,5.65
70,Cristian Arango,CF,28,23/24,Colombia,Real Salt Lake City,5.58
71,Mateusz Bogusz,AM,24,25/26,Poland,Houston Dynamo FC,5.5
72,Jorge Ruvalcaba,LW,24,25/26,Mexico,New York Red Bulls,5.5
73,Anders Dreyer,RW,26,24/25,Denmark,San Diego FC,5.5
74,Hernán López Muñoz,AM,23,23/24,Argentina,San Jose Earthquakes,5.5
75,Kaku,AM,23,17/18,Paraguay,New York Red Bulls,5.5
76,Christian Benteke,CF,31,22/23,Belgium,DC United,5.46
77,Nicolás Lodeiro,AM,27,16/17,Uruguay,Seattle Sounders FC,5.45
78,Jairo Torres,RW,21,21/22,Mexico,Chicago Fire FC,5.45
79,Kevin Cabral,LW,21,20/21,France,Los Angeles Galaxy,5.4
80,Yeferson Soteldo,LW,23,20/21,Venezuela,Toronto FC,5.35
81,Tadeo Allende,RW,26,25/26,Argentina,Inter Miami CF,5.0
82,Morgan Guilavogui,RW,27,25/26,Guinea,Real Salt Lake City,5.0
83,Facundo Farías,AM,20,23/24,Argentina,Inter Miami CF,5.0
84,Martín Ojeda,AM,24,22/23,Argentina,Orlando City SC,5.0
85,Dante Vanzeir,CF,24,22/23,Belgium,New York Red Bulls,5.0
86,Gabriel Pereira,RW,20,21/22,Brazil,New York City FC,5.0
87,Santiago Sosa,DM,21,20/21,Argentina,Atlanta United FC,5.0
88,Carlos Vela,RW,28,17/18,Mexico,Los Angeles FC,5.0
89,Jonathan dos Santos,DM,27,17/18,Mexico,Los Angeles Galaxy,5.0
90,Marco Pašalić,RW,24,24/25,Croatia,Orlando City SC,4.8
91,Lucas Sanabria,DM,21,24/25,Uruguay,Los Angeles Galaxy,4.8
92,Dor Turgeman,CF,22,24/25,Israel,New England Revolution,4.7
93,Julián Aude,LB,20,22/23,Argentina,Los Angeles Galaxy,4.65
94,Omar Campos,LB,21,23/24,Mexico,Los Angeles FC,4.6
95,Julián Fernández,RW,19,23/24,Argentina,New York City FC,4.57
96,Denis Bouanga,LW,27,22/23,Gabon,Los Angeles FC,4.55
97,Federico Navarro,DM,21,21/22,Argentina,Chicago Fire FC,4.55
98,Edison Flores,CF,25,19/20,Peru,DC United,4.55
99,Sebastián Blanco,AM,28,16/17,Argentina,Portland Timbers,4.55
100,Lucas Melano,CF,22,15/16,Argentina,Portland Timbers,4.55
