club_name,division,season
956 United,MLS NEXT Academy Division,2025-26
AC River,MLS NEXT Academy Division,2025-26
AFC Lightning,MLS NEXT Academy Division,2025-26
ALBION SC Boulder County,MLS NEXT Academy Division,2025-26
ALBION SC Denver,MLS NEXT Academy Division,2025-26
ALBION SC Las Vegas,MLS NEXT Academy Division,2025-26
ALBION SC Los Angeles,MLS NEXT Academy Division,2025-26
ALBION SC Merced,MLS NEXT Academy Division,2025-26
ALBION SC Riverside,MLS NEXT Academy Division,2025-26
ALBION SC San Diego,MLS NEXT Academy Division,2025-26
Alexandria SA,MLS NEXT Academy Division,2025-26
Almaden FC,MLS NEXT Academy Division,2025-26
ASG,MLS NEXT Academy Division,2025-26
Aspire FC,MLS NEXT Academy Division,2025-26
Athletum FC Academy,MLS NEXT Academy Division,2025-26
Atlantic United,MLS NEXT Academy Division,2025-26
Atletico FC,MLS NEXT Academy Division,2025-26
Atletico Santa Rosa,MLS NEXT Academy Division,2025-26
Ballistic United,MLS NEXT Academy Division,2025-26
Baltimore Armour,MLS NEXT Academy Division,2025-26
Barca Residency Academy,MLS NEXT Academy Division,2025-26
Bavarian United SC,MLS NEXT Academy Division,2025-26
Bayside FC,MLS NEXT Academy Division,2025-26
Beachside of Connecticut,MLS NEXT Academy Division,2025-26
Beadling SC,MLS NEXT Academy Division,2025-26
Bethesda SC,MLS NEXT Academy Division,2025-26
Blau Weiss Gottschee,MLS NEXT Academy Division,2025-26
Broomfield Soccer Club,MLS NEXT Academy Division,2025-26
Burlingame Soccer Club,MLS NEXT Academy Division,2025-26
Capital City SC,MLS NEXT Academy Division,2025-26
Capital City South,MLS NEXT Academy Division,2025-26
Carolina Core FC,MLS NEXT Academy Division,2025-26
Carolina Velocity FC,MLS NEXT Academy Division,2025-26
Cedar Stars Academy Bergen,MLS NEXT Academy Division,2025-26
Cedar Stars Academy Monmouth,MLS NEXT Academy Division,2025-26
Cedar Stars Academy Newark,MLS NEXT Academy Division,2025-26
Celtic Storm,MLS NEXT Academy Division,2025-26
Chargers Soccer Club,MLS NEXT Academy Division,2025-26
Charleston SC,MLS NEXT Academy Division,2025-26
Charlotte Independence SC,MLS NEXT Academy Division,2025-26
Chicago FC United,MLS NEXT Academy Division,2025-26
Chicago Fire Youth SC,MLS NEXT Academy Division,2025-26
