club,program_name,age_group,fee,fee_url
SC Del Sol,Player Registration,U7,$3,https://www.scdelsol.com/player-registration
ALBION SC Los Angeles,Homepage,U8,$62,https://www.albionsoccer.org
ALBION SC Los Angeles,Homepage,U16,$62,https://www.albionsoccer.org
ALBION SC Merced,Homepage,U8,$62,https://www.albionsoccer.org
ALBION SC Merced,Homepage,U16,$62,https://www.albionsoccer.org
Chula Vista FC,Mini Maestros League,U8,"$120,",https://chulavistafc.com/mini-maestros-league/
Chula Vista FC,Mini Maestros League,U8,$95,https://chulavistafc.com/mini-maestros-league/
Sacramento Republic,Download Schedule,u3,"$,",https://www.sacrepublicfc.com/wp-content/uploads/sites/33/2025/12/Schedule-1.pdf
Sacramento Republic,Download Schedule,U0,$2,https://www.sacrepublicfc.com/wp-content/uploads/sites/33/2025/12/Schedule-1.pdf
Sacramento Republic,Download Schedule,u6,$1,https://www.sacrepublicfc.com/wp-content/uploads/sites/33/2025/12/Schedule-1.pdf
Sacramento Republic,Download Schedule,U2,$4,https://www.sacrepublicfc.com/wp-content/uploads/sites/33/2025/12/Schedule-1.pdf
Sacramento Republic,Download Schedule,u4,$7,https://www.sacrepublicfc.com/wp-content/uploads/sites/33/2025/12/Schedule-1.pdf
Sacramento Republic,Download Schedule,U6,$0,https://www.sacrepublicfc.com/wp-content/uploads/sites/33/2025/12/Schedule-1.pdf
Colorado Rapids,Futures Program,U11,$131,https://www.coloradorapids.com/academy/futures-program
IMG Academy,Homepage,U13,"$70,500",https://www.imgacademy.com/sports/soccer
IMG Academy,Soccer,U19,"$70,500",https://www.imgacademy.com/boarding-school/soccer-girls
IMG Academy,Volleyball,U18,"$75,400",https://www.imgacademy.com/boarding-school/volleyball-girls
IMG Academy,Soccer,U13,"$70,500",https://www.imgacademy.com/boarding-school/soccer
IMG Academy,Volleyball,U16,"$73,400",https://www.imgacademy.com/boarding-school/volleyball-boys
IMG Academy,IMG Academy Summit,ages 13-18,"$1,199",https://www.imgacademy.com/sport-camps/img-academy-summit
IMG Academy,IMG Academy Summit,ages 13-18,"$3,199",https://www.imgacademy.com/sport-camps/img-academy-summit
IMG Academy,Esports Summer Camp,Ages 13-18,"$1,799",https://www.imgacademy.com/sport-camps/esports
IMG Academy,Basketball,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-basketball-camp
IMG Academy,Flag Football,ages 12–18,"$2,599",https://www.imgacademy.com/sport-camps/girls-flag-football-camp
IMG Academy,Flag Football,ages 12-18,"$2,599",https://www.imgacademy.com/sport-camps/girls-flag-football-camp
IMG Academy,Golf,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-golf-camp
IMG Academy,Lacrosse,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-lacrosse-camp
IMG Academy,Performance,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/performance-camp
IMG Academy,Soccer,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-soccer-camp
IMG Academy,Softball,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-softball-camp
IMG Academy,Tennis,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-tennis-camp
IMG Academy,Track & Field,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-track-field-and-cross-country-camp
IMG Academy,Volleyball,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-volleyball-camp
IMG Academy,Wrestling,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/girls-wrestling-camp
IMG Academy,Baseball,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/baseball-camp
IMG Academy,Basketball,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/basketball-camp
IMG Academy,Football,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/football-camp
IMG Academy,Golf,,"Starting at $1,999 Boarding $1,499 Non-boarding Book Now",https://www.imgacademy.com/sport-camps/golf-camp
