club_name,state,conference,league,season
FC Boston Bolts South Shore,MA,New England,National Academy League,2025-26
FC Stars New Hampshire,NH,New England,National Academy League,2025-26
IFA EDS North,MA,New England,National Academy League,2025-26
IFA EDS South,MA,New England,National Academy League,2025-26
Liverpool FC IA Massachusetts,MA,New England,National Academy League,2025-26
NEFC North,MA,New England,National Academy League,2025-26
Seacoast United New Hampshire,NH,New England,National Academy League,2025-26
Seacoast United Maine,ME,New England,National Academy League,2025-26
Sporting CT,CT,New England,National Academy League,2025-26
Albertson Soccer Club,NY,Northeast,National Academy League,2025-26
Asphalt Green,NY,Northeast,National Academy League,2025-26
Barca Academy Pro New York,NY,Northeast,National Academy League,2025-26
Cedar Stars Academy Hudson Valley,NY,Northeast,National Academy League,2025-26
Chelsea Piers,NY,Northeast,National Academy League,2025-26
Clarkstown,NY,Northeast,National Academy League,2025-26
Fox Soccer Academy New York,NY,Northeast,National Academy League,2025-26
Inter CT,CT,Northeast,National Academy League,2025-26
Long Island Slammers,NY,Northeast,National Academy League,2025-26
Long Island Soccer Club,NY,Northeast,National Academy League,2025-26
NY Hota Bavarian SC,NY,Northeast,National Academy League,2025-26
Two Bridges,NY,Northeast,National Academy League,2025-26
White Plains,NY,Northeast,National Academy League,2025-26
Cedar Stars Academy Bergen,NJ,Mid-Atlantic North,National Academy League,2025-26
Cedar Stars Academy Monmouth,NJ,Mid-Atlantic North,National Academy League,2025-26
Cohansey Soccer Club,NJ,Mid-Atlantic North,National Academy League,2025-26
Ironbound Soccer Club,NJ,Mid-Atlantic North,National Academy League,2025-26
JFC Jersey Futbol Club,NJ,Mid-Atlantic North,National Academy League,2025-26
Kearny Thistle United,NJ,Mid-Atlantic North,National Academy League,2025-26
PDA,NJ,Mid-Atlantic North,National Academy League,2025-26
Steel United New Jersey,NJ,Mid-Atlantic North,National Academy League,2025-26
TSF Academy,NJ,Mid-Atlantic North,National Academy League,2025-26
Union County FC,NJ,Mid-Atlantic North,National Academy League,2025-26
Bethesda Soccer Club,MD,Mid-Atlantic South,National Academy League,2025-26
Coppermine,MD,Mid-Atlantic South,National Academy League,2025-26
FC Delco,PA,Mid-Atlantic South,National Academy League,2025-26
Liverpool FC IA Maryland,MD,Mid-Atlantic South,National Academy League,2025-26
McLean Youth Soccer,VA,Mid-Atlantic South,National Academy League,2025-26
PA Classics Reading,PA,Mid-Atlantic South,National Academy League,2025-26
Penn Alliance Select,PA,Mid-Atlantic South,National Academy League,2025-26
Reading Rage Surf,PA,Mid-Atlantic South,National Academy League,2025-26
Shore FC,NJ,Mid-Atlantic South,National Academy League,2025-26
Sporting AC,DE,Mid-Atlantic South,National Academy League,2025-26
Total Futbol Club,VA,Mid-Atlantic South,National Academy League,2025-26
Touch Kings Football Club,MD,Mid-Atlantic South,National Academy League,2025-26
Virginia Revolution,VA,Mid-Atlantic South,National Academy League,2025-26
Augusta Arsenal,SC,Carolinas,National Academy League,2025-26
Carolina Velocity,NC,Carolinas,National Academy League,2025-26
Charlotte Eagles,NC,Carolinas,National Academy League,2025-26
Charlotte Independence SC North,NC,Carolinas,National Academy League,2025-26
Charlotte Independence SC South,NC,Carolinas,National Academy League,2025-26
Fox Soccer Academy Carolinas,NC,Carolinas,National Academy League,2025-26
James Island Youth Soccer Club,SC,Carolinas,National Academy League,2025-26
Wake Futbol Club City,NC,Carolinas,National Academy League,2025-26
Wake Futbol Club West,NC,Carolinas,National Academy League,2025-26
Inter Atlanta FC,GA,Southeast,National Academy League,2025-26
Kings Hammer Nashville,TN,Southeast,National Academy League,2025-26
Lanier Soccer Association,GA,Southeast,National Academy League,2025-26
One Knox SC,TN,Southeast,National Academy League,2025-26
Roswell Soccer Club,GA,Southeast,National Academy League,2025-26
Southern Soccer Academy Swarm,GA,Southeast,National Academy League,2025-26
Southern Soccer Academy Swarm Sudamerica,GA,Southeast,National Academy League,2025-26
Chargers Soccer Club,FL,North Florida,National Academy League,2025-26
DME Academy,FL,North Florida,National Academy League,2025-26
Florida Prime,FL,North Florida,National Academy League,2025-26
IdeaSport,FL,North Florida,National Academy League,2025-26
IMG Academy,FL,North Florida,National Academy League,2025-26
Kings Hammer Swan City,FL,North Florida,National Academy League,2025-26
Nona Soccer Academy,FL,North Florida,National Academy League,2025-26
OC Seminole,FL,North Florida,National Academy League,2025-26
Tampa Bay United,FL,North Florida,National Academy League,2025-26
United Soccer Alliance,FL,North Florida,National Academy League,2025-26
West Florida Flames,FL,North Florida,National Academy League,2025-26
Atletico de Madrid Academia Miami,FL,South Florida,National Academy League,2025-26
Athletum FC,FL,South Florida,National Academy League,2025-26
Azzurri Storm Soccer Club,FL,South Florida,National Academy League,2025-26
FBS-FC,FL,South Florida,National Academy League,2025-26
FC Florida,FL,South Florida,National Academy League,2025-26
Key Biscayne Soccer Club,FL,South Florida,National Academy League,2025-26
Miami Breakers,FL,South Florida,National Academy League,2025-26
Miami Futbol Academy Rush,FL,South Florida,National Academy League,2025-26
Pinecrest Premier,FL,South Florida,National Academy League,2025-26
Plantation FC Rush,FL,South Florida,National Academy League,2025-26
South Florida Football Academy,FL,South Florida,National Academy League,2025-26
Southern Homestead Academy,FL,South Florida,National Academy League,2025-26
Weston FC,FL,South Florida,National Academy League,2025-26
W&H America,FL,South Florida,National Academy League,2025-26
Fort Wayne United,IN,Mid-America North,National Academy League,2025-26
Liverpool FC IA Michigan,MI,Mid-America North,National Academy League,2025-26
Michigan Development Academy,MI,Mid-America North,National Academy League,2025-26
Michigan Jaguars FC,MI,Mid-America North,National Academy League,2025-26
Michigan Stars Elite,MI,Mid-America North,National Academy League,2025-26
Michigan Tigers,MI,Mid-America North,National Academy League,2025-26
Michigan Wolves,MI,Mid-America North,National Academy League,2025-26
Midwest United,MI,Mid-America North,National Academy League,2025-26
Millennium Soccer Association,MI,Mid-America North,National Academy League,2025-26
Beadling Soccer Club,PA,Mid-America South,National Academy League,2025-26
Cincinnati United Premier,OH,Mid-America South,National Academy League,2025-26
Club Ohio,OH,Mid-America South,National Academy League,2025-26
Columbus United Soccer Club,OH,Mid-America South,National Academy League,2025-26
Indy Eleven,IN,Mid-America South,National Academy League,2025-26
Kings Hammer Cincinnati,OH,Mid-America South,National Academy League,2025-26
Lexington Sporting Club,KY,Mid-America South,National Academy League,2025-26
Saint Louis Development Academy,MO,Heartland,National Academy League,2025-26
Sporting Blue Valley Soccer Club,KS,Heartland,National Academy League,2025-26
Sporting City,KS,Heartland,National Academy League,2025-26
Sporting Kaw Valley,KS,Heartland,National Academy League,2025-26
Sporting Springfield,MO,Heartland,National Academy League,2025-26
Sporting Wichita Academy,KS,Heartland,National Academy League,2025-26
St. Louis Scott Gallagher Illinois,IL,Heartland,National Academy League,2025-26
St. Louis Scott Gallagher Missouri,MO,Heartland,National Academy League,2025-26
