state,club,program_name,age_group,fee,fee_url
Alabama,Alabama FC,Sunday Soccer U4-U5 Ages – U4-U6,U4,$30,https://www.birminghamunited.com/youth_rec/sunday-soccer/
Alabama,Alabama FC,Sunday Soccer U4-U5 Ages – U4-U6,U4,$85,https://www.birminghamunited.com/youth_rec/sunday-soccer/
Alabama,Alabama FC,Sunday Soccer U4-U5 Ages – U4-U6,U5,$100,https://www.birminghamunited.com/youth_rec/sunday-soccer/
Alabama,Alabama FC,Intramurals U6-U8 Ages – U6-U8,U4,$25,https://www.birminghamunited.com/youth_rec/intramurals/
Alabama,Alabama FC,Intramurals U6-U8 Ages – U6-U8,U6,$25,https://www.birminghamunited.com/youth_rec/intramurals/
Alabama,Alabama FC,Intramurals U6-U8 Ages – U6-U8,U6,$140,https://www.birminghamunited.com/youth_rec/intramurals/
Alabama,Alabama FC,Rec Programs U9-U18 Ages – U9-U19,U4,$25,https://www.birminghamunited.com/youth_rec/rec-programs/
Alabama,Alabama FC,Rec Programs U9-U18 Ages – U9-U19,U9,$25,https://www.birminghamunited.com/youth_rec/rec-programs/
Alabama,Alabama FC,Rec Programs U9-U18 Ages – U9-U19,U6,$25,https://www.birminghamunited.com/youth_rec/rec-programs/
Alabama,Alabama FC,Rec Programs U9-U18 Ages – U9-U19,U9,$190,https://www.birminghamunited.com/youth_rec/rec-programs/
Alabama,Alabama FC,Rec Programs U9-U18 Ages – U9-U19,U9,$31,https://www.birminghamunited.com/youth_rec/rec-programs/
Alabama,Alabama FC,Rec Programs U9-U18 Ages – U9-U19,u9,$31,https://www.birminghamunited.com/youth_rec/rec-programs/
Alabama,Alabama FC,Overview,U4,$30,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/
Alabama,Alabama FC,Overview,U4,$90,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/
Alabama,Alabama FC,Overview,U6,$105,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/
Alabama,Alabama FC,Overview,U9,$125,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/
Alabama,Alabama FC,Overview,U6,$25,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/
Alabama,Alabama FC,Overview,U9,$50,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/
Alabama,Alabama FC,Bruno Montessori Soccer,U4,$30,https://www.birminghamunited.com/bruno-montessori-soccer/
Alabama,Alabama FC,Bruno Montessori Soccer,U9,$105,https://www.birminghamunited.com/bruno-montessori-soccer/
Alabama,Alabama FC,Highlands Soccer Club,U4,$100,https://www.birminghamunited.com/highlands-soccer-club/
Alabama,Alabama FC,Highlands Soccer Club,U6,$100,https://www.birminghamunited.com/highlands-soccer-club/
Alabama,Alabama FC,Highlands Soccer Club,U5,$105,https://www.birminghamunited.com/highlands-soccer-club/
