division,gender,tier,region,club_name,state,league,source_url
Girls Premier 1,Girls,P1,Frontier,Atletico Dallas Youth,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Frontier,BVB International Academy Texas,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Frontier,D'Feeters Kicks Soccer Club,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Frontier,Dallas Surf Soccer Club,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Frontier,HTX Soccer Club,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Frontier,Houston Surf Soccer Club,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Frontier,Solar Soccer Club,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Great Lakes,Club Ohio,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Great Lakes,FC Dayton,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Great Lakes,Fort Wayne United Futbol Club,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Great Lakes,Indy Eleven Academy,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Great Lakes,NWI Lions United,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Great Lakes,Total Futbol Academy,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,AYSO United So Cal,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,CDA Slammers,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Empire Surf,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Excel Soccer Academy,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,FC Premier,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Legends FC,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Legends FC San Diego,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Legends FC SD North,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Los Angeles Soccer Club,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Phoenix Rising FC,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Rebels San Diego Soccer Club,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Sporting California,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Pacific,Strikers FC,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Piedmont,Alliance Soccer Club,GA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Piedmont,Atlanta Fire United Soccer Assoc,GA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Piedmont,Bulls Rush FC,SC,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Piedmont,Carolina Elite Soccer Academy,SC,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Piedmont,Charlotte Soccer Academy,NC,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 1,Girls,P1,Piedmont,United FC-Furman,SC,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,Arizona Arsenal Soccer Club,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,Arizona Rush,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,AYSO United Arizona,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,CCV Stars,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,FC Tucson Youth,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,RSL-AZ West Valley,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Desert,RSL-AZ Southern,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Cincinnati United Premier,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Cincinnati West Soccer Club,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Elite FC,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Fairfield Optimist Soccer Club,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Hoosier Futbol Club,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Indy Eleven Academy,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Indy Premier SC,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Kings Hammer - NKY Academy,KY,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Lexington Sporting Club,KY,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Great Lakes,Union FC Indy,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Lake Shores,Libertyville FC 1974,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Lake Shores,MI Jaguars FC,MI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Lake Shores,Michigan Futbol Academy,MI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Lake Shores,Michigan Tigers,MI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Lake Shores,Team Chicago,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,North,Chicago Inferno,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,North,Croatian Eagles Soccer Club,WI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,North,Evolution Soccer Club,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,North,FC Stars Soccer Club,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,North,Raptors / Crystal Lake Force,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,North,WIUFC,WI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,CDA Slammers,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,Crusaders Soccer Club,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,FC Man United,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,Legends FC - San Diego,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,Legends FC SD North,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,Soccer Club of Oceanside,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Girls Premier 2,Girls,P2,Pacific,Southwest Sporting,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,Atletico Dallas Youth,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,Dallas Surf SC,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,D'Feeters Kicks SC,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,HTX SC,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,Houston Surf,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,Solar SC,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Frontier,Sting SC,TX,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Great Lakes,Century United of Pittsburgh,PA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Great Lakes,Fort Wayne United Futbol Club,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Great Lakes,Hoosier Futbol Club,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Great Lakes,Indy Premier SC,IN,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Great Lakes,Pittsburgh Independence,PA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Great Lakes,Spire FC,OH,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,Central Illinois United,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,FC 1974 Libertyville,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,Madison 56ers,WI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,Michigan Rangers FC,MI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,Midwest United SCOR,MI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,PFC - Evo,IL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Midwest,TKO Premier SC,MI,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,Cedar Stars Academy - Hudson Valley,NY,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,Cedar Stars Academy - North,NJ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,French Football Academy,NY,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,Future Soccer Academy,NJ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,PDA SC Vistula,NJ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,Players Development Academy Hibernian,NJ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Northeast,PSC Academy,NJ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Empire Surf,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Excel Soccer Academy,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,FC Deportivo AZ,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Legends FC,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Legends FC San Diego,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Legends FC SD North,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Los Angeles Soccer Club,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Nomads Soccer Club,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Phoenix Rising FC,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Playmaker Futbol Academy,AZ,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Rebels San Diego Soccer Club,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Soccer Club of Oceanside Breakers,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Southwest SC Sporting USA,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Pacific,Strikers FC,CA,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Southeast,GGS - Brave SC,FL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Southeast,Juventus Academy Miami,FL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Southeast,Miami Breakers FC,FL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Southeast,One FC,FL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Southeast,Pinecrest Premier Soccer Club,FL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
Boys Premier 1,Boys,P1,Southeast,SABR Team Boca,FL,The National League,https://www.thenationalleague.com/club-directory-2025-2026-season/
