state,club,website,program_name,program_url,program_type
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Sunday Soccer U4-U5 Ages – U4-U6,https://www.birminghamunited.com/youth_rec/sunday-soccer/,Development
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Intramurals U6-U8 Ages – U6-U8,https://www.birminghamunited.com/youth_rec/intramurals/,Development
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Rec Programs U9-U18 Ages – U9-U19,https://www.birminghamunited.com/youth_rec/rec-programs/,Recreational
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Overview,https://www.birminghamunited.com/youth_rec/alabaster-recreational-soccer-club/,Recreational
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Bruno Montessori Soccer,https://www.birminghamunited.com/bruno-montessori-soccer/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,BUSA South – Oak Mountain/Inverness/Greystone,https://www.birminghamunited.com/busa-south-oak-mountain-inverness-greystone/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Chelsea Soccer Club,https://www.birminghamunited.com/chelsea-soccer-club/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Highlands Soccer Club,https://www.birminghamunited.com/highlands-soccer-club/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Leeds Soccer,https://www.birminghamunited.com/youth_rec/leeds-recreational-soccer-club/,Recreational
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Mountain Brook Soccer Club,https://www.birminghamunited.com/mountain-brook-soccer-club/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Our Lady of Sorrows,https://www.birminghamunited.com/youth_rec/our-lady-of-sorrows-soccer/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Our Lady of the Valley Soccer,https://www.birminghamunited.com/our-lady-of-the-valley-soccer/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Training Schedules,https://www.birminghamunited.com/training-schedule/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Academy Team Directory,https://www.birminghamunited.com/academy-team-directory/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,AFC South,https://www.birminghamunited.com/busa-south/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,AFC Alabaster,https://www.birminghamunited.com/busa-alabaster/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Team Directory,https://www.birminghamunited.com/alabaster-team-directory/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Junior Academy,https://www.birminghamunited.com/academy/junior-academy/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Competitive Team Directory,https://www.birminghamunited.com/competitive-team-directory/,Competitive
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Player Pathways,https://www.birminghamunited.com/competitive_programs/u13-u19/,Competitive
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,College Recruiting,https://www.birminghamunited.com/college-recruiting-center/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,SAQ & Friday Finishing,https://www.birminghamunited.com/saqfridayfinishing/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Financial Aid Info,https://www.birminghamunited.com/forms-documents/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Tryouts,https://www.birminghamunited.com/events/tryouts,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Tryouts FAQ,https://www.birminghamunited.com/competitive_programs/tryouts-faq/,Competitive
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Tryout Information,https://www.birminghamunited.com/tryouts/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,AFC Huntsville-USC & AFC Huntsville North,https://www.birminghamunited.com/huntsville/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Overview,https://www.birminghamunited.com/ecnl-information/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Boys ECNL – U13-U19,https://www.birminghamunited.com/ecnl/boys/,Program
