league,event_id,club,gotsport_url
NorCal NPL,44145,1974 Newark FC,https://system.gotsport.com/org_event/events/44145/clubs/13073
NorCal NPL,44145,AC Los Banos,https://system.gotsport.com/org_event/events/44145/clubs/13101
NorCal NPL,44145,AC Marin,https://system.gotsport.com/org_event/events/44145/clubs/8381
NorCal NPL,44145,Ajax United,https://system.gotsport.com/org_event/events/44145/clubs/11022
NorCal NPL,44145,Alameda Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10485
NorCal NPL,44145,Albany Berkeley Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13077
NorCal NPL,44145,ALBION SC Central Valley,https://system.gotsport.com/org_event/events/44145/clubs/13037
NorCal NPL,44145,ALBION SC Merced,https://system.gotsport.com/org_event/events/44145/clubs/13029
NorCal NPL,44145,ALBION SC Silicon Valley,https://system.gotsport.com/org_event/events/44145/clubs/14120
NorCal NPL,44145,ALBION SC Silicon Valley East Bay,https://system.gotsport.com/org_event/events/44145/clubs/13063
NorCal NPL,44145,Allstars SC,https://system.gotsport.com/org_event/events/44145/clubs/13083
NorCal NPL,44145,Almaden FC,https://system.gotsport.com/org_event/events/44145/clubs/13017
NorCal NPL,44145,Association Football Club,https://system.gotsport.com/org_event/events/44145/clubs/8470
NorCal NPL,44145,Atletico Santa Rosa,https://system.gotsport.com/org_event/events/44145/clubs/13001
NorCal NPL,44145,Ballistic United,https://system.gotsport.com/org_event/events/44145/clubs/8390
NorCal NPL,44145,Bay Area Surf,https://system.gotsport.com/org_event/events/44145/clubs/9035
NorCal NPL,44145,Belmont United,https://system.gotsport.com/org_event/events/44145/clubs/13105
NorCal NPL,44145,Black Oaks Youth Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13000
NorCal NPL,44145,Blues FC,https://system.gotsport.com/org_event/events/44145/clubs/8443
NorCal NPL,44145,Burlingame Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/11048
NorCal NPL,44145,Butte United Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13020
NorCal NPL,44145,California Magic Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13014
NorCal NPL,44145,California Odyssey Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/12988
NorCal NPL,44145,Capital Valley Futbol Club,https://system.gotsport.com/org_event/events/44145/clubs/12995
NorCal NPL,44145,Castro Valley Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10957
NorCal NPL,44145,Central California Soccer Alliance,https://system.gotsport.com/org_event/events/44145/clubs/13023
NorCal NPL,44145,Central Coast FC,https://system.gotsport.com/org_event/events/44145/clubs/32943
NorCal NPL,44145,Central Valley Premier FC,https://system.gotsport.com/org_event/events/44145/clubs/12998
NorCal NPL,44145,Ceres Rush,https://system.gotsport.com/org_event/events/44145/clubs/12811
NorCal NPL,44145,Chesterfield Sunday League,https://system.gotsport.com/org_event/events/44145/clubs/1612
NorCal NPL,44145,Chico Cal Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/12991
NorCal NPL,44145,City SC Kings County,https://system.gotsport.com/org_event/events/44145/clubs/13048
NorCal NPL,44145,Clippers FC,https://system.gotsport.com/org_event/events/44145/clubs/11066
NorCal NPL,44145,Clovis Crossfire,https://system.gotsport.com/org_event/events/44145/clubs/9034
NorCal NPL,44145,Corte Madera Football Club,https://system.gotsport.com/org_event/events/44145/clubs/13024
NorCal NPL,44145,CV Futbol Academy,https://system.gotsport.com/org_event/events/44145/clubs/18473
NorCal NPL,44145,Davis Legacy Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/7940
NorCal NPL,44145,Diablo Valley Futbol Club,https://system.gotsport.com/org_event/events/44145/clubs/13128
NorCal NPL,44145,Dixon Leon SC,https://system.gotsport.com/org_event/events/44145/clubs/13049
NorCal NPL,44145,Dnamo FC,https://system.gotsport.com/org_event/events/44145/clubs/13654
NorCal NPL,44145,Dublin United,https://system.gotsport.com/org_event/events/44145/clubs/3656
NorCal NPL,44145,East Bay United,https://system.gotsport.com/org_event/events/44145/clubs/11069
NorCal NPL,44145,Eastshore Alliance FC,https://system.gotsport.com/org_event/events/44145/clubs/13470
NorCal NPL,44145,El Camino FC Salinas,https://system.gotsport.com/org_event/events/44145/clubs/12980
NorCal NPL,44145,El Dorado Hills Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10996
NorCal NPL,44145,Elk Grove Soccer,https://system.gotsport.com/org_event/events/44145/clubs/10988
NorCal NPL,44145,Elk Grove Surf,https://system.gotsport.com/org_event/events/44145/clubs/8452
NorCal NPL,44145,Elk Grove United SC,https://system.gotsport.com/org_event/events/44145/clubs/7934
NorCal NPL,44145,FC Fresno Academy,https://system.gotsport.com/org_event/events/44145/clubs/13131
NorCal NPL,44145,Folsom Lake Surf,https://system.gotsport.com/org_event/events/44145/clubs/12498
NorCal NPL,44145,Force,https://system.gotsport.com/org_event/events/44145/clubs/462
