league,event_id,club,team_name,gender,age,division,bracket
NorCal NPL,44145,1974 Newark FC,1974 Newark FC 1974 NFC 2014G Pre-GA,Female,U12,2014G NPL East Bay - South,Bracket A
NorCal NPL,44145,1974 Newark FC,1974 Newark FC 1974 NFC 2014B Pre-ECNL,Male,U12,2014B East Bay - Yellow,Bracket A
NorCal NPL,44145,AC Los Banos,AC Los Banos AC Los Banos 2009W,Male,U17,2009B NPL East - Yellow,Bracket A
NorCal NPL,44145,AC Marin,AC Marin AC Marin Boys 2014 Pre-NPL,Male,U12,2014B North Bay,Bracket A
NorCal NPL,44145,Ajax United,Ajax United Ajax United 10G Green NPL,Female,U16,2010G NPL East,Bracket A
NorCal NPL,44145,Ajax United,Ajax United Ajax United 14B Academy Pre-MLS Next,Male,U12,2014B Valley North,Bracket A
NorCal NPL,44145,Alameda Soccer Club,Alameda Soccer Club Alameda SC Islanders 14G Red Pre-NPL,Female,U12,2014G NPL East Bay - South,Bracket A
NorCal NPL,44145,Albany Berkeley Soccer Club,Albany Berkeley Soccer Club ABSC Lightning Premier 2009B,Male,U17,2009B NPL North,Bracket A
NorCal NPL,44145,ALBION SC Central Valley,ALBION SC Central Valley ALBION SC Central Valley G09 DPLO,Female,U17,2009G NPL East - Valley,Bracket A
NorCal NPL,44145,ALBION SC Central Valley,ALBION SC Central Valley ALBION SC Central Valley G07/08 DPLO,Female,U19,2007/08G NPL East - Valley,Bracket A
NorCal NPL,44145,ALBION SC Central Valley,ALBION SC Central Valley ALBION SC Central Valley B13 EA/NPL,Male,U13,2013B East - Valley,Bracket A
NorCal NPL,44145,ALBION SC Central Valley,ALBION SC Central Valley ALBION SC Central Valley B12 EA/NPL,Male,U14,2012B NPL East - Valley,Bracket A
NorCal NPL,44145,ALBION SC Central Valley,ALBION SC Central Valley ALBION SC Central Valley B07/08 EA/NPL,Male,U19,2007/08B NPL East,Bracket A
NorCal NPL,44145,ALBION SC Merced,ALBION SC Merced ALBION SC Merced G08 NPL,Female,U19,2007/08G NPL East - Valley,Bracket A
NorCal NPL,44145,ALBION SC Merced,ALBION SC Merced ALBION SC Merced B14 Pre-MLS NEXT,Male,U12,2014B Valley North,Bracket A
NorCal NPL,44145,ALBION SC Silicon Valley,ALBION SC Silicon Valley G14 Academy,Female,U12,2014G NPL South Bay,Bracket A
NorCal NPL,44145,ALBION SC Silicon Valley East Bay,ALBION SC Silicon Valley East Bay EB G10 Academy,Female,U16,2010G NPL North,Bracket A
NorCal NPL,44145,ALBION SC Silicon Valley East Bay,ALBION SC Silicon Valley East Bay EB B11 Academy,Male,U15,2011B NPL North,Bracket A
NorCal NPL,44145,Allstars SC,Allstars SC 13G Pre-Academy,Female,U13,2013G NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC 14G Pre-GA,Female,U12,2014G NPL South Bay,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Quicksilver 13G Green,Female,U13,2013G NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Quicksilver 12G Green,Female,U14,2012G NPL West,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Quicksilver 10G Green,Female,U16,2010G NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Quicksilver 09G Green,Female,U17,2009G NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC 14B Pre-MLS Next,Male,U12,2014B South Bay - Blue,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Mercury 13B Green,Male,U13,2013B South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Mercury 12B Green,Male,U14,2012B NPL South Yellow,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Mercury B11 Green,Male,U15,2011B NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC Mercury B10 Green,Male,U16,2010B  NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC- Mercury 09B Green,Male,U17,2009B NPL South,Bracket A
NorCal NPL,44145,Almaden FC,Almaden FC Almaden FC- Mercury 07/08B Green,Male,U19,2007/08B NPL South,Bracket A
NorCal NPL,44145,Association Football Club,Association Football Club 2013 Girls NPL,Female,U13,2013G NPL North,Bracket A
NorCal NPL,44145,Association Football Club,Association Football Club 2013 Boys NPL,Male,U13,2013B North,Bracket A
NorCal NPL,44145,Atletico Santa Rosa,Atletico Santa Rosa Atletico Santa Rosa Lille,Female,U15,2011G NPL North,Bracket A
NorCal NPL,44145,Ballistic United,Ballistic United BUSC 2014 Pre-MLS Next,Male,U12,2014B East Bay - Blue,Bracket A
NorCal NPL,44145,Bay Area Surf,Bay Area Surf 14G Pre-ECNL Blue,Female,U12,2014G NPL South Bay,Bracket A
NorCal NPL,44145,Bay Area Surf,Bay Area Surf 2014B Pre MLS 2,Male,U12,2014B South Bay - Blue,Bracket A
NorCal NPL,44145,Bay Area Surf,Bay Area Surf Bay Area Surf 2013 NPL,Male,U13,2013B South,Bracket A
NorCal NPL,44145,Bay Area Surf,Bay Area Surf 12B NPL,Male,U14,2012B NPL South - Blue,Bracket A
NorCal NPL,44145,Belmont United,Belmont United Belmont United 14G Gotham FC Black,Female,U12,2014G NPL Golden Gate,Bracket A
NorCal NPL,44145,Belmont United,Belmont United Belmont United 10G Royals,Female,U16,2010G NPL South,Bracket A
NorCal NPL,44145,Belmont United,Belmont United Belmont United 11B Sevilla,Male,U15,2011B NPL South,Bracket A
NorCal NPL,44145,Belmont United,Belmont United Belmont United 09B PSG,Male,U17,2009B NPL South,Bracket A
NorCal NPL,44145,Black Oaks Youth Soccer Club,Black Oaks Youth Soccer Club Black Oaks Diablo Jr's 2009B,Male,U17,2009B NPL North,Bracket A
NorCal NPL,44145,Blues FC,Blues FC Blues 09B EA,Male,U17,2009B NPL East - Blue,Bracket A
NorCal NPL,44145,Burlingame Soccer Club,Burlingame Soccer Club Burlingame SC 2014G Pre-ECNL RL,Female,U12,2014G NPL Golden Gate,Bracket A
NorCal NPL,44145,Burlingame Soccer Club,Burlingame Soccer Club Burlingame SC 2013G NPL,Female,U13,2013G NPL South,Bracket A
NorCal NPL,44145,Burlingame Soccer Club,Burlingame Soccer Club Burlingame SC 2012G NPL,Female,U14,2012G NPL North,Bracket A
NorCal NPL,44145,Burlingame Soccer Club,Burlingame Soccer Club Burlingame SC 2014B Pre-MLS Next,Male,U12,2014B Golden Gate,Bracket A
NorCal NPL,44145,Burlingame Soccer Club,Burlingame Soccer Club Burlingame SC 2013B NPL,Male,U13,2013B North,Bracket A
NorCal NPL,44145,Butte United Soccer Club,Butte United Soccer Club BUSC 2013B Black NPL,Male,U13,2013B East - Capitol,Bracket A
