club_id,club_name,conference,age_groups,league,season
354,Davie United SC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
2237,Doral Soccer Club Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
5158,FC America Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
2329,FC Prime Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
3055,FHFC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
379,Florida Kraze Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
3384,Florida West FC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
1925,Fort Lauderdale United FC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
4568,Orlando City Lake Nona Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
3387,Parkland SC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
2731,SWFL Premier FC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
1919,Space Coast United Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
1353,Sporting Jax Pre-ECNL B15 DEV 1,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
4566,Springs SC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
4873,Strikers Miami FC Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
390,Team Boca Soccer - Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
840,Wellington Pre-ECNL B15,Florida,B2014 | B2015,Pre-ECNL Boys,2025-26
3585,Arkansas Comets FC Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
3594,Arkansas Rising Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
3620,FC Tulsa Academy Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
3694,Kernow Storm FC Frontier Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
2133,OK Energy FC Pre-ECNL B15 III,Frontier,B2015,Pre-ECNL Boys,2025-26
5136,Southwest MO Rush Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
106,Tulsa SC Frontier Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
3587,West Side Alliance Frontier Pre-ECNL B15,Frontier,B2015,Pre-ECNL Boys,2025-26
4742,Cap City Athletic 1847 - Pre ECNL B15,GMA,B2015,Pre-ECNL Boys,2025-26
4858,Detroit City FC West - Pre ECNL RL B15,GMA,B2015,Pre-ECNL Boys,2025-26
4852,Legends FC Michigan - Pre-ECNL B15,GMA,B2015,Pre-ECNL Boys,2025-26
5203,Liverpool FC IA Central 15 B Pre-ECNL,GMA,B2015,Pre-ECNL Boys,2025-26
5200,Liverpool FC IA North Oakland - North Oakland 15 B,GMA,B2015,Pre-ECNL Boys,2025-26
1720,Michigan Burn Pre ECNL RL B15,GMA,B2015,Pre-ECNL Boys,2025-26
