team_id,club_id,team_name,club_name,age_group,conference,league,season
113733,354,Davie United SC Pre-ECNL B14,Davie United SC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
114366,2237,Doral Soccer Club Pre-ECNL B14,Doral Soccer Club Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
115225,5158,FC America Pre-ECNL B14,FC America Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
113231,2329,FC Prime Pre-ECNL B14,FC Prime Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
111962,3055,FHFC Pre-ECNL B14,FHFC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
113940,379,Florida Kraze Pre-ECNL B14,Florida Kraze Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
114812,379,Florida Kraze Pre-ECNL RL B14,Florida Kraze Pre-ECNL RL B14,B2014,Florida,Pre-ECNL Boys,2025-26
114709,2731,Florida Premier FC Pre-ECNL B14 I,Florida Premier FC Pre-ECNL B14 I,B2014,Florida,Pre-ECNL Boys,2025-26
114710,2731,Florida Premier FC Pre-ECNL B14 II,Florida Premier FC Pre-ECNL B14 II,B2014,Florida,Pre-ECNL Boys,2025-26
113998,3384,Florida West FC Pre-ECNL B14,Florida West FC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
116540,1925,Fort Lauderdale United FC Pre-ECNL B14,Fort Lauderdale United FC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
112550,4568,Orlando City Lake Nona Pre-ECNL B14,Orlando City Lake Nona Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
111914,3387,Parkland SC Pre-ECNL B14,Parkland SC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
112569,2731,SWFL Premier FC Pre-ECNL B14,SWFL Premier FC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
111018,1919,Space Coast United Pre-ECNL B14,Space Coast United Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
113631,1353,Sporting Jax Pre-ECNL B14 DEV 1,Sporting Jax Pre-ECNL B14 DEV 1,B2014,Florida,Pre-ECNL Boys,2025-26
113632,1353,Sporting Jax Pre-ECNL B14 DEV 2,Sporting Jax Pre-ECNL B14 DEV 2,B2014,Florida,Pre-ECNL Boys,2025-26
111438,4566,Springs SC Pre-ECNL B14,Springs SC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
112339,4873,Strikers Miami FC Pre-ECNL B14,Strikers Miami FC Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
116485,390,Team Boca Soccer - Pre-ECNL B14,Team Boca Soccer - Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
114161,840,Wellington Pre-ECNL B14,Wellington Pre-ECNL B14,B2014,Florida,Pre-ECNL Boys,2025-26
113734,354,Davie United SC Pre-ECNL B15,Davie United SC Pre-ECNL B15,B2015,Florida,Pre-ECNL Boys,2025-26
