name,description,lat,lon
East,Name: St. Louis Scott Gallagher Website: https://www.slsgsoccer.com/ Address: 1 Soccer Park Road Address (Continued): State: MO City: Fenton Postal Code: 63026,,
East,Name: Lou Fusz Athletic Website: https://www.loufuszathletic.com/ Address: 1 Rams Way Address (Continued): State: MO City: Earth City Postal Code: 63044,,
West,Name: KC Athletics Website: https://www.athleticskc.com/ Address: 5360 College Blvd Address (Continued): Suite 120 State: KS City: Overland Park Postal Code: 66211,,
West,Name: KC Blaze Soccer Club Website: https://www.kcblazesc.org/ Address: 4700 NE Parvin Rd Address (Continued): State: MO City: Kansas City Postal Code: 64117,,
East,Name: AFA Fillies Website: https://afafillies.com/ Address: 1 Address (Continued): State: MO City: Chesterfield Postal Code: 63301,38.6484965,-90.5339804
East,Name: Ajax St Louis SC Website: https://www.ajaxstl.com/ Address: 6220 Walsh St Address (Continued): State: MO City: St Louis Postal Code: 63109,,
East,Name: JB Marine Soccer Club Website: https://jbmarinesc.com/ Address: 2350 Creve Coeur Mill Road Address (Continued): State: MO City: Maryland Heights Postal Code: 63043,,
East,Name: Kolping Kicks SC Website: https://kolpingkicks.com/ Address: 4680 Meramec Bottom Rd Address (Continued): State: MO City: St. Louis Postal Code: 63128,,
East,Name: Missouri Rush Website: www.morushsoccer.com Address: 901 Caledonia Dr Address (Continued): State: MO City: O'Fallon Postal Code: 63368,,
East,Name: REAL WC St. Louis Soccer Club Website: www.realwc.com Address: 1304 West Lark Industrial Dr Address (Continued): State: MO City: Fenton Postal Code: 63026,,
South,Name: Sporting Springfield Website: https://www.sportingspringfield.com/ Address: 3105 E Elm Address (Continued): State: MO City: Springfield Postal Code: 65802,,
East,Name: St. Louis Development Academy Website: https://www.stlouisda.com/ Address: 12525 Sport Port Rd Address (Continued): State: MO City: Maryland Heights Postal Code: 63043,,
West,Name: Unified Legacy FC Website: https://www.unifiedfckc.org/ Address: 8300 NW Old Tiffany Springs Rd Address (Continued): State: MO City: Kansas City Postal Code: 64153,,
West,Name: Alliance Futbol Club Website: http://www.alliancefc.soccershift.com/ Address: 1919 Buchanan Street Address (Continued): Suite A State: MO City: North Kansas City Postal Code: 64116,,
Central,Name: United Capital City Website: https://www.unitedccsoccer.com/ Address: 325 Special Olympics Drive Address (Continued): State: MO City: Jefferson City Postal Code: 65101,,
East,Name: St. Louis Fire FC Website: https://stc2020fc.com/ Address: NA Address (Continued): State: MO City: St Charles Postal Code: 63301,,
East,Name: Webster Groves Soccer Club Website: https://www.wgsoccer.com/ Address: 1009 Leonard Ave Address (Continued): State: MO City: Webster Groves Postal Code: 63119,,
South,Name: Jaguar FC Website: https://www.jaguaracademy.org/ Address: PO Box 4971 Address (Continued): State: MO City: Joplin Postal Code: 64804,,
West,Name: Kansas City Soccer Club Website: https://www.kcsoccerclub.com/ Address: 707 Doc Henry Rd Address (Continued): State: MO City: Greenwood Postal Code: 64034,,
East,Name: St. Louis Youth Soccer Association Website: https://www.slysa.org/home Address: 10733 Sunset Office Drive Address (Continued): Suite 261 State: MO City: St. Louis Postal Code: 63127,,
East,Name: 026 Futbol Club Website: https://www.026futbolclub.com/ Address: NA Address (Continued): State: MO City: Fenton Postal Code: 63026,,
Central,Name: Boonville Soccer Academy Website: https://bsaravens.org/ Address: 1734 W Ashley Rd Address (Continued): State: MO City: Boonville Postal Code: 65233,,
East,Name: Mineral Area Soccer Club Website: https://www.facebook.com/MineralAreaSoccerClub/ Address: 907 W Liberty Address (Continued): State: MO City: Farmington Postal Code: 63640,,
West,Name: North Cass Freedom Website: https://www.northcassfreedom.org/ Address: PO Box 1216 Address (Continued): State: MO City: Raymore Postal Code: 64083,,
West,Name: Gower Soccer Club Website: https://www.facebook.com/Gowersoccerclub/ Address: NA Address (Continued): State: MO City: Gower Postal Code: 64454,,
West,Name: Green Hills SC Website: https://www.facebook.com/GHSC2017/ Address: PO Box 1182 Address (Continued): State: MO City: Chillicothe Postal Code: 64601,,
East,Name: Kirkwood United SC Website: https://www.kirkwoodunited.com/ Address: 11600 Manchester Road Address (Continued): Suite 100 State: MO City: St Louis Postal Code: 63131,,
South,Name: Rolla Knights Soccer Club Website: https://www.facebook.com/Knightssoccerclub/ Address: PO Box 1300 Address (Continued): State: MO City: Rolla Postal Code: 65402,,
East,Name: Kutis Soccer Website: https://www.kutissoccer.com/ Address: NA Address (Continued): State: MO City: Saint Louis Postal Code: 63129,,
Central,Name: Lake of the Ozarks Soccer Website: https://www.losa.org/ Address: 232 N Lake Street Address (Continued): State: MO City: Camdenton Postal Code: 65020,,
Central,Name: Moberly Area SA Website: https://moberlysoccer.org/ Address: PO Box 415 Address (Continued): State: MO City: Moberly Postal Code: 65270,,
Central,Name: Northern Missouri FC Website: www.nmfc.soccer Address: PO Box 612 Address (Continued): State: MO City: Kirksville Postal Code: 63501,,
Central,Name: Revolution FC / Paul Klover SA Website: www.revolution.soccershift.com Address: 5301 W 32nd Street Address (Continued): State: MO City: Sedalia Postal Code: 65301,,
West,Name: Raytown SC Website: http://www.raytownsoccerclub.org/ Address: 6124 Blue Ridge Blvd Address (Continued): Suite 117 State: MO City: Raytown Postal Code: 64133,,
East,Name: River City FC Website: https://www.rivercityfc.com/ Address: NA Address (Continued): State: MO City: Saint Louis Postal Code: 63119,,
East,Name: Sandhurst Soccer Club Website: https://www.sandhurstsoccer.com/ Address: 2641 Deloak Dr Unit C Address (Continued): State: MO City: St. Louis Postal Code: 63129,38.4594307,-90.3838766
