state,region,name,website,lat,lon,governing_body,source
MO,Outstate MO,St. Louis Scott Gallagher,https://www.slsgsoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Lou Fusz Athletic,https://www.loufuszathletic.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,KC Athletics,https://www.athleticskc.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,KC Blaze Soccer Club,https://www.kcblazesc.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,AFA Fillies,https://afafillies.com/,38.6484965,-90.5339804,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Ajax St Louis SC,https://www.ajaxstl.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,JB Marine Soccer Club,https://jbmarinesc.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Kolping Kicks SC,https://kolpingkicks.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Missouri Rush,www.morushsoccer.com,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,REAL WC St. Louis Soccer Club,www.realwc.com,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Sporting Springfield,https://www.sportingspringfield.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,St. Louis Development Academy,https://www.stlouisda.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Unified Legacy FC,https://www.unifiedfckc.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Alliance Futbol Club,http://www.alliancefc.soccershift.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,United Capital City,https://www.unitedccsoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,St. Louis Fire FC,https://stc2020fc.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Webster Groves Soccer Club,https://www.wgsoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Jaguar FC,https://www.jaguaracademy.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Kansas City Soccer Club,https://www.kcsoccerclub.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,St. Louis Youth Soccer Association,https://www.slysa.org/home,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,026 Futbol Club,https://www.026futbolclub.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Boonville Soccer Academy,https://bsaravens.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Mineral Area Soccer Club,https://www.facebook.com/MineralAreaSoccerClub/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,North Cass Freedom,https://www.northcassfreedom.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Gower Soccer Club,https://www.facebook.com/Gowersoccerclub/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
