academic_year,division,gender,programs,athletes,avg_squad_size,source
2023-24,D1,Men,203,6607,32.5,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,D2,Men,206,7710,37.4,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,D3,Men,409,13201,32.3,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,Overall,Men,818,27518,33.6,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,D1,Women,336,10497,31.2,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,D2,Women,263,8276,31.5,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,D3,Women,424,11436,27.0,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2023-24,Overall,Women,1023,30209,29.5,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,D1,Men,206,6901,33.5,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,D2,Men,211,8237,39.0,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,D3,Men,410,13608,33.2,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,Overall,Men,827,28746,34.8,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,D1,Women,341,10931,32.1,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,D2,Women,268,8635,32.2,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,D3,Women,420,11634,27.7,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
2024-25,Overall,Women,1029,31200,30.3,NCAA 2025 Sponsorship Participation Report PDF pp.91-94
