division,conference,school,mens_soccer,womens_soccer
Division I,Western Athletic Conference,Abilene Christian University,False,True
Division I,Southwestern Athletic Conf.,Alabama A&M University,False,True
Division I,Southwestern Athletic Conf.,Alabama State University,False,True
Division I,Southwestern Athletic Conf.,Alcorn State University,False,True
Division I,Patriot League,American University,True,True
Division I,Sun Belt Conference,Appalachian State University,False,True
Division I,Big 12 Conference,Arizona State University,False,True
Division I,Sun Belt Conference,Arkansas State University,False,True
Division I,Southeastern Conference,Auburn University,False,True
Division I,Atlantic Sun Conference,Austin Peay State University,False,True
Division I,Mid-American Conference,Ball State University,False,True
Division I,Big 12 Conference,Baylor University,False,True
Division I,Atlantic Sun Conference,Bellarmine University,True,True
Division I,Missouri Valley Conference,Belmont University,True,True
Division I,America East Conference,Binghamton University,True,True
Division I,Mountain West Conference,Boise State University,False,True
Division I,Atlantic Coast Conference,Boston College,True,True
Division I,Patriot League,Boston University,True,True
Division I,Mid-American Conference,Bowling Green State University,True,True
Division I,Missouri Valley Conference,Bradley University,True,False
Division I,Big 12 Conference,Brigham Young University,False,True
Division I,The Ivy League,Brown University,True,True
Division I,America East Conference,Bryant University,True,True
Division I,Patriot League,Bucknell University,True,True
Division I,Big East Conference,Butler University,True,True
Division I,Western Athletic Conference,California Baptist University,True,True
Division I,Big West Conference,California Polytechnic State University,True,True
Division I,Big West Conference,"California State University, Bakersfield",True,True
Division I,Mountain West Conference,"California State University, Fresno",False,True
Division I,Big West Conference,"California State University, Fullerton",True,True
Division I,Big West Conference,"California State University, Northridge",True,True
Division I,Big Sky Conference,"California State University, Sacramento",True,True
Division I,Coastal Athletic Association,Campbell University,True,True
Division I,Metro Atlantic Athletic Conference,Canisius University,True,True
Division I,Northeast Conference,Central Connecticut State University,True,True
Division I,Mid-American Conference,Central Michigan University,False,True
Division I,Big South Conference,Charleston Southern University,False,True
Division I,Northeast Conference,Chicago State University,True,True
Division I,Atlantic Coast Conference,Clemson University,True,True
Division I,Horizon League,Cleveland State University,True,True
Division I,Sun Belt Conference,Coastal Carolina University,True,True
Division I,Patriot League,Colgate University,True,True
Division I,Coastal Athletic Association,College of Charleston (South Carolina),True,True
Division I,Patriot League,College of the Holy Cross,True,True
Division I,Mountain West Conference,Colorado State University,False,True
Division I,The Ivy League,Columbia University-Barnard College,True,True
Division I,The Ivy League,Cornell University,True,True
Division I,Big East Conference,Creighton University,True,True
Division I,The Ivy League,Dartmouth College,True,True
Division I,Atlantic 10 Conference,Davidson College,True,True
Division I,Big East Conference,DePaul University,True,True
Division I,Mid-Eastern Athletic Conf.,Delaware State University,False,True
Division I,Missouri Valley Conference,Drake University,True,True
Division I,Coastal Athletic Association,Drexel University,True,True
Division I,Atlantic Coast Conference,Duke University,True,True
Division I,Atlantic 10 Conference,Duquesne University,True,True
Division I,American Conference,East Carolina University,False,True
Division I,Southern Conference,East Tennessee State University,True,True
Division I,Southland Conference,East Texas A&M University,False,True
Division I,Ohio Valley Conference,Eastern Illinois University,True,True
Division I,Atlantic Sun Conference,Eastern Kentucky University,False,True
Division I,Mid-American Conference,Eastern Michigan University,False,True
Division I,Big Sky Conference,Eastern Washington University,False,True
Division I,Coastal Athletic Association,Elon University,True,True
Division I,Metro Atlantic Athletic Conference,Fairfield University,True,True
Division I,Northeast Conference,"Fairleigh Dickinson University, Metropolitan Campus",True,True
Division I,American Conference,Florida Atlantic University,True,True
Division I,Atlantic Sun Conference,Florida Gulf Coast University,True,True
Division I,Conference USA,Florida International University,True,True
Division I,Atlantic Coast Conference,Florida State University,False,True
Division I,Atlantic 10 Conference,Fordham University,True,True
Division I,Southern Conference,Furman University,True,True
Division I,Big South Conference,Gardner-Webb University,True,True
Division I,Atlantic 10 Conference,George Mason University,True,True
Division I,Atlantic 10 Conference,George Washington University,True,True
Division I,Big East Conference,Georgetown University,True,True
Division I,Sun Belt Conference,Georgia Southern University,True,True
Division I,Sun Belt Conference,Georgia State University,True,True
Division I,West Coast Conference,Gonzaga University,True,True
Division I,Southwestern Athletic Conf.,Grambling State University,False,True
Division I,Mountain West Conference,Grand Canyon University,True,True
Division I,Coastal Athletic Association,Hampton University,False,True
Division I,The Ivy League,Harvard University,True,True
Division I,Big South Conference,High Point University,True,True
Division I,Coastal Athletic Association,Hofstra University,True,True
Division I,Southland Conference,Houston Christian University,True,True
Division I,Mid-Eastern Athletic Conf.,Howard University,True,True
Division I,Big Sky Conference,Idaho State University,False,True
Division I,Missouri Valley Conference,Illinois State University,False,True
Division I,Missouri Valley Conference,Indiana State University,False,True
Division I,Horizon League,Indiana University Indianapolis,True,True
Division I,Big Ten Conference,"Indiana University, Bloomington",True,True
Division I,Metro Atlantic Athletic Conference,Iona University,True,True
Division I,Big 12 Conference,Iowa State University,False,True
Division I,Southwestern Athletic Conf.,Jackson State University,False,True
Division I,Conference USA,Jacksonville State University,False,True
Division I,Atlantic Sun Conference,Jacksonville University,True,True
Division I,Sun Belt Conference,James Madison University,True,True
Division I,Big 12 Conference,Kansas State University,False,True
Division I,Conference USA,Kennesaw State University,False,True
Division I,Mid-American Conference,Kent State University,False,True
Division I,Atlantic 10 Conference,La Salle University,True,True
Division I,Patriot League,Lafayette College,True,True
Division I,Southland Conference,Lamar University,False,True
Division I,Patriot League,Lehigh University,True,True
Division I,Conference USA,Liberty University,True,True
Division I,Ohio Valley Conference,Lindenwood University,True,True
Division I,Atlantic Sun Conference,Lipscomb University,True,True
Division I,Big West Conference,Long Beach State University,False,True
Division I,Northeast Conference,Long Island University,True,True
Division I,Big South Conference,Longwood University,True,True
Division I,Southeastern Conference,Louisiana State University,False,True
Division I,Conference USA,Louisiana Tech University,False,True
Division I,West Coast Conference,Loyola Marymount University,True,True
Division I,Atlantic 10 Conference,Loyola University Chicago,True,True
Division I,Patriot League,Loyola University Maryland,True,True
Division I,Metro Atlantic Athletic Conference,Manhattan University,True,True
Division I,Metro Atlantic Athletic Conference,Marist University,True,True
Division I,Big East Conference,Marquette University,True,True
Division I,Sun Belt Conference,Marshall University,True,True
Division I,Southland Conference,McNeese State University,False,True
Division I,Southern Conference,Mercer University,True,True
Division I,Metro Atlantic Athletic Conference,Merrimack College,True,True
Division I,Mid-American Conference,Miami University (Ohio),False,True
Division I,Big Ten Conference,Michigan State University,True,True
Division I,Conference USA,Middle Tennessee State University,False,True
Division I,Southeastern Conference,Mississippi State University,False,True
Division I,Southwestern Athletic Conf.,Mississippi Valley State University,False,True
Division I,Conference USA,Missouri State University,True,True
Division I,Coastal Athletic Association,Monmouth University,True,True
Division I,Ohio Valley Conference,Morehead State University,False,True
Division I,Metro Atlantic Athletic Conference,Mount St. Mary's University,True,True
Division I,Missouri Valley Conference,Murray State University,False,True
Division I,America East Conference,New Jersey Institute of Technology,True,True
Division I,Conference USA,New Mexico State University,False,True
Division I,Metro Atlantic Athletic Conference,Niagara University,True,True
Division I,Southland Conference,Nicholls State University,False,True
Division I,Atlantic Coast Conference,North Carolina State University,True,True
Division I,The Summit League,North Dakota State University,False,True
Division I,Coastal Athletic Association,Northeastern University,True,True
Division I,Big Sky Conference,Northern Arizona University,False,True
Division I,Mid-American Conference,Northern Illinois University,True,True
Division I,Horizon League,Northern Kentucky University,True,True
Division I,Southland Conference,Northwestern State University,False,True
Division I,Big Ten Conference,Northwestern University,True,True
Division I,Horizon League,Oakland University,True,True
Division I,Mid-American Conference,Ohio University,False,True
Division I,Big 12 Conference,Oklahoma State University,False,True
Division I,Sun Belt Conference,Old Dominion University,True,True
Division I,The Summit League,Oral Roberts University,True,True
Division I,Pac-12 Conference,Oregon State University,True,True
Division I,Big Ten Conference,Pennsylvania State University,True,True
Division I,West Coast Conference,Pepperdine University,False,True
Division I,Big Sky Conference,Portland State University,False,True
Division I,Southwestern Athletic Conf.,Prairie View A&M University,False,True
Division I,Big South Conference,Presbyterian College,True,True
Division I,The Ivy League,Princeton University,True,True
Division I,Big East Conference,Providence College,True,True
Division I,Big Ten Conference,Purdue University,False,True
Division I,Horizon League,Purdue University Fort Wayne,True,True
Division I,Atlantic Sun Conference,Queens University of Charlotte,True,True
Division I,Metro Atlantic Athletic Conference,Quinnipiac University,True,True
Division I,Big South Conference,Radford University,True,True
Division I,American Conference,Rice University,False,True
Division I,Metro Atlantic Athletic Conference,Rider University,True,True
Division I,Horizon League,Robert Morris University,True,True
Division I,Big Ten Conference,"Rutgers, The State University of New Jersey, New Brunswick",True,True
Division I,Metro Atlantic Athletic Conference,Sacred Heart University,True,True
Division I,Northeast Conference,Saint Francis University ,True,True
Division I,Atlantic 10 Conference,Saint Joseph's University,True,True
Division I,Atlantic 10 Conference,Saint Louis University,True,True
Division I,West Coast Conference,Saint Mary's College of California,True,True
Division I,Metro Atlantic Athletic Conference,Saint Peter's University,True,True
Division I,Conference USA,Sam Houston State University,False,True
Division I,Southern Conference,Samford University,False,True
Division I,Mountain West Conference,San Diego State University,True,True
Division I,Mountain West Conference,San Jose State University,True,True
Division I,West Coast Conference,Santa Clara University,True,True
Division I,West Coast Conference,Seattle University,True,True
Division I,Big East Conference,Seton Hall University,True,True
Division I,Metro Atlantic Athletic Conference,Siena University,True,True
Division I,Mid-Eastern Athletic Conf.,South Carolina State University,False,True
Division I,The Summit League,South Dakota State University,False,True
Division I,Ohio Valley Conference,Southeast Missouri State University,False,True
Division I,Southland Conference,Southeastern Louisiana University,False,True
Division I,Ohio Valley Conference,Southern Illinois University Edwardsville,True,True
Division I,Missouri Valley Conference,Southern Illinois University at Carbondale,False,True
Division I,Atlantic Coast Conference,Southern Methodist University,True,True
Division I,Southwestern Athletic Conf.,"Southern University, Baton Rouge",False,True
Division I,Western Athletic Conference,Southern Utah University,False,True
Division I,Atlantic 10 Conference,St. Bonaventure University,True,True
Division I,Big East Conference,St. John's University (New York),True,True
Division I,Atlantic Coast Conference,Stanford University,True,True
Division I,Southland Conference,Stephen F. Austin State University,False,True
Division I,Atlantic Sun Conference,Stetson University,True,True
Division I,Northeast Conference,Stonehill College,True,True
Division I,Coastal Athletic Association,Stony Brook University,True,True
Division I,Atlantic Coast Conference,Syracuse University,True,True
Division I,Western Athletic Conference,Tarleton State University,False,True
Division I,American Conference,Temple University,True,True
Division I,Ohio Valley Conference,Tennessee Technological University,False,True
Division I,Southeastern Conference,"Texas A&M University, College Station",False,True
Division I,Southland Conference,Texas A&M University-Corpus Christi,False,True
Division I,Big 12 Conference,Texas Christian University,False,True
Division I,Southwestern Athletic Conf.,Texas Southern University,False,True
Division I,Sun Belt Conference,Texas State University,False,True
Division I,Big 12 Conference,Texas Tech University,False,True
Division I,Southern Conference,The Citadel,False,True
Division I,Big Ten Conference,The Ohio State University,True,True
Division I,American Conference,The University of North Carolina at Charlotte,True,True
Division I,Southern Conference,The University of North Carolina at Greensboro,True,True
Division I,Sun Belt Conference,The University of Southern Mississippi,False,True
Division I,Southland Conference,The University of Texas Rio Grande Valley,True,True
Division I,American Conference,The University of Tulsa,True,True
Division I,Coastal Athletic Association,Towson University,False,True
Division I,Sun Belt Conference,Troy University,False,True
Division I,Mountain West Conference,U.S. Air Force Academy,True,True
Division I,Patriot League,U.S. Military Academy,True,True
Division I,Patriot League,U.S. Naval Academy,True,True
Division I,America East Conference,University at Albany,True,True
Division I,Mid-American Conference,"University at Buffalo, the State University of New York",False,True
Division I,Mid-American Conference,University of Akron,True,True
Division I,Southeastern Conference,University of Alabama,False,True
Division I,American Conference,University of Alabama at Birmingham,True,True
