club,team_name,team_url,gender,age,division,bracket
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego G2013,https://system.gotsport.com/org_event/events/43086/schedules?team=3118856,Female,U13,G13 - Flight 4 SD,Bracket A
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego G2011,https://system.gotsport.com/org_event/events/43086/schedules?team=3118861,Female,U15,G11 - Flight 3 SD,Bracket A
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego B2015 Yellow F3,https://system.gotsport.com/org_event/events/43086/schedules?team=3118858,Male,U11,B15 - Flight 2 South SD,Bracket A
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego Pre-NPL B2014,https://system.gotsport.com/org_event/events/43086/schedules?team=3118857,Male,U12,B14 - Flight 1 South SD,Bracket A
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego B2013 Blue,https://system.gotsport.com/org_event/events/43086/schedules?team=3118859,Male,U13,B13 - Flight 3 South SD,Bracket A
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego B2013 Yellow,https://system.gotsport.com/org_event/events/43086/schedules?team=3118860,Male,U13,B13 - Flight 4 Central SD,Bracket A
Academia de Futbol Tigres,Academia de Futbol Tigres Tigres San Diego B2009,https://system.gotsport.com/org_event/events/43086/schedules?team=3118855,Male,U17,B09 - Flight 1 SD,Bracket A
AC Brea Soccer,AC Brea Soccer G18 Red,https://system.gotsport.com/org_event/events/43086/schedules?team=3119779,Female,U8,G18 - Flight 3/4 Central,Bracket A
AC Brea Soccer,AC Brea Soccer G16 Red,https://system.gotsport.com/org_event/events/43086/schedules?team=3119663,Female,U10,G16 - Flight 3 Central,Bracket A
AC Brea Soccer,AC Brea Soccer G15 Black,https://system.gotsport.com/org_event/events/43086/schedules?team=3119665,Female,U11,G15 - Flight 2 Central,Bracket A
AC Brea Soccer,AC Brea Soccer G14 Silver,https://system.gotsport.com/org_event/events/43086/schedules?team=3119668,Female,U12,G14 - Flight 3 Central II,Bracket A
AC Brea Soccer,AC Brea Soccer B18 Red,https://system.gotsport.com/org_event/events/43086/schedules?team=3119778,Male,U8,B18 - Flight 3 Central,Bracket A
AC Brea Soccer,AC Brea Soccer B17 Red,https://system.gotsport.com/org_event/events/43086/schedules?team=3119780,Male,U9,B17 - Flight 3 Central,Bracket A
AC Brea Soccer,AC Brea Soccer B16 Black,https://system.gotsport.com/org_event/events/43086/schedules?team=3119664,Male,U10,B16 - Flight 3 Central,Bracket A
AC Brea Soccer,AC Brea Soccer B14 Silver,https://system.gotsport.com/org_event/events/43086/schedules?team=3119838,Male,U12,B14 - Flight 3 Central,Bracket A
AC Brea Soccer,AC Brea Soccer B13 Black,https://system.gotsport.com/org_event/events/43086/schedules?team=3119669,Male,U13,B13 - Flight 1 West,Bracket A
AC Brea Soccer,AC Brea Soccer B13 Gold,https://system.gotsport.com/org_event/events/43086/schedules?team=3119666,Male,U13,B13 - Flight 2 Central,Bracket A
AC Brea Soccer,AC Brea Soccer B13 Silver,https://system.gotsport.com/org_event/events/43086/schedules?team=3119671,Male,U13,B13 - Flight 3 Central,Bracket A
ALBION SC Riverside,ALBION SC Riverside ALBION SC Riverside G17 Academy,https://system.gotsport.com/org_event/events/43086/schedules?team=3129906,Female,U9,G17 - Flight 1/2 East,Bracket A
ALBION SC Riverside,ALBION SC Riverside ALBION SC Riverside G16 Academy,https://system.gotsport.com/org_event/events/43086/schedules?team=3129905,Female,U10,G16 - Flight 2 East II,Bracket A
