club_name,city,state,league,tier,tier_label,team_count,gender,source_file
AC Brea Soccer,,CA,SoCal Soccer League,T2,Competitive Travel,11,Both,socal_league_teams.csv
ALBION SC Riverside,,CA,SoCal Soccer League,T2,Competitive Travel,23,Both,socal_league_teams.csv
ALBION SC San Diego,,CA,SoCal Soccer League,T2,Competitive Travel,79,Both,socal_league_teams.csv
ALBION SC Santa Ana,,CA,SoCal Soccer League,T2,Competitive Travel,29,Both,socal_league_teams.csv
ALBION SC Santa Monica,,CA,SoCal Soccer League,T2,Competitive Travel,35,Both,socal_league_teams.csv
Academia de Futbol Tigres,,CA,SoCal Soccer League,T2,Competitive Travel,7,Both,socal_league_teams.csv
Anaheim Futbol Club,,CA,SoCal Soccer League,T2,Competitive Travel,21,Both,socal_league_teams.csv
Antelope Valley Futbol Club,,CA,SoCal Soccer League,T2,Competitive Travel,10,Both,socal_league_teams.csv
Apple Valley SC Storm,,CA,SoCal Soccer League,T2,Competitive Travel,25,Both,socal_league_teams.csv
Aztecs FC,,CA,SoCal Soccer League,T2,Competitive Travel,11,Both,socal_league_teams.csv
Bakersfield Alliance,,CA,SoCal Soccer League,T2,Competitive Travel,10,Both,socal_league_teams.csv
Beach Futbol Club,,CA,SoCal Soccer League,T2,Competitive Travel,117,Both,socal_league_teams.csv
Bell Gardens FC,,CA,SoCal Soccer League,T2,Competitive Travel,20,Both,socal_league_teams.csv
Boca Orange County,,CA,SoCal Soccer League,T2,Competitive Travel,20,Both,socal_league_teams.csv
Borussia Del Mar Soccer Club,,CA,SoCal Soccer League,T2,Competitive Travel,9,Both,socal_league_teams.csv
CDA Slammers,,CA,SoCal Soccer League,T2,Competitive Travel,118,Both,socal_league_teams.csv
CZ Elite (CA-S),,CA,SoCal Soccer League,T2,Competitive Travel,7,Boys,socal_league_teams.csv
California Athletic SC,,CA,SoCal Soccer League,T2,Competitive Travel,33,Both,socal_league_teams.csv
California Football Academy,,CA,SoCal Soccer League,T2,Competitive Travel,57,Both,socal_league_teams.csv
California Rush Soccer Club,,CA,SoCal Soccer League,T2,Competitive Travel,19,Both,socal_league_teams.csv
Capo FC,,CA,SoCal Soccer League,T2,Competitive Travel,14,Both,socal_league_teams.csv
Cardiff Sockers,,CA,SoCal Soccer League,T2,Competitive Travel,36,Both,socal_league_teams.csv
Celtic Soccer Club (S-CA),,CA,SoCal Soccer League,T2,Competitive Travel,18,Both,socal_league_teams.csv
Central Cal Aztecs,,CA,SoCal Soccer League,T2,Competitive Travel,5,Both,socal_league_teams.csv
Chelsea OC,,CA,SoCal Soccer League,T2,Competitive Travel,31,Both,socal_league_teams.csv
Chula Vista FC,,CA,SoCal Soccer League,T2,Competitive Travel,26,Both,socal_league_teams.csv
City SC,,CA,SoCal Soccer League,T2,Competitive Travel,81,Both,socal_league_teams.csv
City SC - San Marcos,,CA,SoCal Soccer League,T2,Competitive Travel,38,Both,socal_league_teams.csv
City SC Chula Vista,,CA,SoCal Soccer League,T2,Competitive Travel,22,Both,socal_league_teams.csv
City SC South Bay,,CA,SoCal Soccer League,T2,Competitive Travel,30,Both,socal_league_teams.csv
City SC Southwest,,CA,SoCal Soccer League,T2,Competitive Travel,83,Both,socal_league_teams.csv
Claremont Stars Soccer Club,,CA,SoCal Soccer League,T2,Competitive Travel,31,Both,socal_league_teams.csv
Club Deportivo La Esperanza,,CA,SoCal Soccer League,T2,Competitive Travel,6,Both,socal_league_teams.csv
Coronado FC,,CA,SoCal Soccer League,T2,Competitive Travel,15,Both,socal_league_teams.csv
Crusaders Soccer League,,CA,SoCal Soccer League,T2,Competitive Travel,27,Both,socal_league_teams.csv
Culture FC,,CA,SoCal Soccer League,T2,Competitive Travel,14,Both,socal_league_teams.csv
Culver City Football Club,,CA,SoCal Soccer League,T2,Competitive Travel,34,Both,socal_league_teams.csv
Desert Empire Surf,,CA,SoCal Soccer League,T2,Competitive Travel,20,Both,socal_league_teams.csv
Downey Futbol Club,,CA,SoCal Soccer League,T2,Competitive Travel,8,Both,socal_league_teams.csv
Downey United Football Club,,CA,SoCal Soccer League,T2,Competitive Travel,29,Both,socal_league_teams.csv
Dynamo,,CA,SoCal Soccer League,T2,Competitive Travel,3,Both,socal_league_teams.csv
Dynamo El Centro Soccer Club,,CA,SoCal Soccer League,T2,Competitive Travel,5,Both,socal_league_teams.csv
ELI7E FC,,CA,SoCal Soccer League,T2,Competitive Travel,33,Both,socal_league_teams.csv
Eagle Soccer Club KC,,CA,SoCal Soccer League,T2,Competitive Travel,48,Both,socal_league_teams.csv
Eagles SC,,CA,SoCal Soccer League,T2,Competitive Travel,7,Both,socal_league_teams.csv
Empire SC,,CA,SoCal Soccer League,T2,Competitive Travel,19,Both,socal_league_teams.csv
Empire Surf,,CA,SoCal Soccer League,T2,Competitive Travel,56,Both,socal_league_teams.csv
Express Soccer,,CA,SoCal Soccer League,T2,Competitive Travel,55,Both,socal_league_teams.csv
FASC,,CA,SoCal Soccer League,T2,Competitive Travel,16,Both,socal_league_teams.csv
FC Balboa,,CA,SoCal Soccer League,T2,Competitive Travel,17,Both,socal_league_teams.csv
FC Golden State,,CA,SoCal Soccer League,T2,Competitive Travel,24,Both,socal_league_teams.csv
FC Man United,,CA,SoCal Soccer League,T2,Competitive Travel,18,Both,socal_league_teams.csv
FC Premier (CA),,CA,SoCal Soccer League,T2,Competitive Travel,55,Both,socal_league_teams.csv
FC Premier Elite,,CA,SoCal Soccer League,T2,Competitive Travel,15,Both,socal_league_teams.csv
FC Scorpions (CA),,CA,SoCal Soccer League,T2,Competitive Travel,22,Both,socal_league_teams.csv
FRAM SC,,CA,SoCal Soccer League,T2,Competitive Travel,36,Both,socal_league_teams.csv
Fallbrook (FYSL),,CA,SoCal Soccer League,T2,Competitive Travel,14,Both,socal_league_teams.csv
Fellowship Of Christian Athletes,,CA,SoCal Soccer League,T2,Competitive Travel,13,Both,socal_league_teams.csv
Foothill Storm,,CA,SoCal Soccer League,T2,Competitive Travel,11,Both,socal_league_teams.csv
Fury FC (S-CA),,CA,SoCal Soccer League,T2,Competitive Travel,15,Both,socal_league_teams.csv
Future FC (CAS),,CA,SoCal Soccer League,T2,Competitive Travel,32,Both,socal_league_teams.csv
Golden Eagles FC,,CA,SoCal Soccer League,T2,Competitive Travel,10,Both,socal_league_teams.csv
Gremio Football Club (CA),,CA,SoCal Soccer League,T2,Competitive Travel,8,Both,socal_league_teams.csv
Inland Empire Futbol Club,,CA,SoCal Soccer League,T2,Competitive Travel,13,Both,socal_league_teams.csv
Inland Surf,,CA,SoCal Soccer League,T2,Competitive Travel,17,Both,socal_league_teams.csv
