How many hours per week does your child receive additional coaching outside the team?,How many hours per week does your child spend in soccer training?,Please provide your zip code for regional analysis.,"Total annual spending on private coaching, camps, clinics (even if not every month)",Total years in club soccer (if applicable),What is the name of your child's team?,What is your total annual club costs? (registration & monthly fees),Which best describes your team's travel scope?,Which level best describes your child's current club soccer?,Which of these best describes your household income bracket?,submission_id,submitted_at
0,6,92780,0,10,Strikers FC,3500,"National (multiple states, regular flights)",Academy,"$120,000 - $200,000",lb9d35lv1kd0plb9b452ahg4mb09at6v,2026-06-08T22:12:29Z
1,3,92780,800,3,Strikers Orange,1500,Local only (within 2 hours),U-travel,"$120,000 - $200,000",u08r0msrrvtku08sxwy1frgbw20jd09o,2026-06-08T14:40:28Z
2,5,90000,2000,9,A SoCal ECNL team,4200,"National (multiple states, regular flights)",Elite club,"$120,000 - $200,000",ccd60cuc6hlf94jpxccd6a58n8tzd389,2026-06-06T16:32:38Z
4,3,90274,6000,2,SoCal Blues U12,5000,"Regional (2-6 hours, occasional overnight)",Elite club,"$200,000+",r54j6ih1u6uy0ew3r546znka7eplr4g7,2026-06-05T17:12:52Z
0,3,91741,0,3,Claremont Stars,2100,"Regional (2-6 hours, occasional overnight)",Competitive travel,"$200,000+",idw8mo7h7z8qhm31idw8mo1prrqhuz7j,2026-06-05T16:54:26Z
6,5,92129,8000,5,City SC San Diego PRE-MLS NEXT B2015,3500,"Regional (2-6 hours, occasional overnight)",Elite club,"$200,000+",58ya7l55c0ril8cc58ya246n621rz55f,2026-06-05T16:40:40Z
2,6,90806,2000,5,Slammers,4000,"Regional (2-6 hours, occasional overnight)",Elite club,"$120,000 - $200,000",ecobyt7arroje4qvf4t1eecobyt7axeq,2026-06-05T15:55:17Z
0,4,04021,300,4,,500,,U-travel,"$120,000 - $200,000",7u7xolajwvf3zo95vx1o7jd7u7xovexe,2026-06-05T00:12:16Z
0,5,30062,1000,1,,2000,,U-travel,"$200,000+",nuravznaxrze1fa3messnuravz9d9r9q,2026-06-05T00:09:49Z
1,3,95776,2000,4,,1250,,Competitive travel,"$200,000+",r3du3tekuna5urp72ldsr3du3tegxbe9,2026-06-05T00:05:09Z
