conference,team_name,city,state,league,source_url
Eastern,Birmingham Legion FC,Birmingham,AL,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Brooklyn FC,Brooklyn,NY,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Charleston Battery,Charleston,SC,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Detroit City FC,Detroit,MI,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Hartford Athletic,Hartford,CT,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Indy Eleven,Indianapolis,IN,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Louisville City FC,Louisville,KY,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Loudoun United FC,Leesburg,VA,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Miami FC,Miami,FL,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Pittsburgh Riverhounds SC,Pittsburgh,PA,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Rhode Island FC,Providence,RI,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Sporting Club Jacksonville,Jacksonville,FL,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Eastern,Tampa Bay Rowdies,Tampa,FL,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Colorado Springs Switchbacks FC,Colorado Springs,CO,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,El Paso Locomotive FC,El Paso,TX,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,FC Tulsa,Tulsa,OK,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Las Vegas Lights FC,Las Vegas,NV,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Lexington SC,Lexington,KY,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Monterey Bay FC,Monterey,CA,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,New Mexico United,Albuquerque,NM,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Oakland Roots SC,Oakland,CA,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Orange County SC,Irvine,CA,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Phoenix Rising FC,Phoenix,AZ,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,Sacramento Republic FC,Sacramento,CA,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
Western,San Antonio FC,San Antonio,TX,USL Championship,https://en.wikipedia.org/wiki/2026_USL_Championship_season
