team_name,city,state,league,source_url
Athletic Club Boise,Garden City,ID,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
AV Alta FC,Lancaster,CA,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Charlotte Independence,Charlotte,NC,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Chattanooga Red Wolves SC,East Ridge,TN,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Corpus Christi FC,Corpus Christi,TX,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Fort Wayne FC,Fort Wayne,IN,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Forward Madison FC,Madison,WI,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Greenville Triumph SC,Greenville,SC,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
FC Naples,Naples,FL,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
New York Cosmos,Paterson,NJ,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
One Knoxville SC,Knoxville,TN,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Portland Hearts of Pine,Portland,ME,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Richmond Kickers,Richmond,VA,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Sarasota Paradise,Lakewood Ranch,FL,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Spokane Velocity FC,Spokane,WA,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Union Omaha,Omaha,NE,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
Westchester SC,Mount Vernon,NY,USL League One,https://en.wikipedia.org/wiki/2026_USL_League_One_season
