conference,division,club_name,city,state,league,source_url
Eastern,Chesapeake,Annapolis Blues FC,Annapolis,MD,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Chesapeake,Virginia Beach United FC,Virginia Beach,VA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Chesapeake,Richmond Ivy SC,Richmond,VA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Chesapeake,Charlottesville Blues FC,Charlottesville,VA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Chesapeake,Virginia Atlantic FC,Virginia,VA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,Long Island Rough Riders,Long Island,NY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,Paisley Athletic FC,Paisley,NJ,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,Morris Elite SC,Morris,NJ,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,Cedar Stars Academy,Connecticut,CT,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,Hudson Valley Crusaders,Hudson Valley,NY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,AC Connecticut,Connecticut,CT,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,New Jersey Copa FC,New Jersey,NJ,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Metropolitan,Manhattan SC,Manhattan,NY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Mid Atlantic,Eagle FC,Pennsylvania,PA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Mid Atlantic,Northern Virginia FC,Northern Virginia,VA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Mid Atlantic,Virginia Marauders FC,Virginia,VA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Mid Atlantic,Lancaster Inferno FC,Lancaster,PA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,Mid Atlantic,Patuxent Football Athletics,Maryland,MD,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,North Carolina Courage U23,North Carolina,NC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,South Carolina United FC,South Carolina,SC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,Charlotte Eagles,Charlotte,NC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,Tormenta FC,Savannah,GA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,Carolina Ascent FC,North Carolina,NC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,North Carolina Fusion U23,North Carolina,NC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Eastern,South Atlantic,Wake FC,North Carolina,NC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Forest,Pittsburgh Riveters SC,Pittsburgh,PA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Forest,Cleveland Force SC,Cleveland,OH,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Forest,FC Buffalo,Buffalo,NY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Forest,Steel City FC,Pittsburgh,PA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Forest,Flower City 1872,Rochester,NY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Forest,Erie Sports Center FC,Erie,PA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Lakes,Detroit City FC,Detroit,MI,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Lakes,AFC Ann Arbor,Ann Arbor,MI,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Lakes,Kalamazoo FC,Kalamazoo,MI,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Lakes,Midwest United FC,Michigan,MI,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Lakes,Union FC Macomb,Macomb,MI,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Great Lakes,Toledo Villa FC,Toledo,OH,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Heartland,Minnesota Aurora FC,Minnesota,MN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Heartland,Sioux Falls City FC,Sioux Falls,SD,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Heartland,River Light FC,Minnesota,MN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Heartland,Rochester FC,Rochester,MN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Heartland,Chicago Dutch Lions,Chicago,IL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Heartland,RKC Third Coast,Minnesota,MN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Valley,Kings Hammer FC Cincinnati,Cincinnati,OH,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Valley,Racing Louisville FC,Louisville,KY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Valley,Indy Eleven,Indianapolis,IN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
